"109年08月19日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","14,620.47","-","99.18","-0.67","",
"發行量加權股價指數","12,778.64","-","93.50","-0.73","",
"臺灣公司治理100指數","7,454.08","-","70.01","-0.93","",
"臺灣50指數","10,180.22","-","100.69","-0.98","",
"臺灣50權重上限30%指數","9,692.11","-","89.32","-0.91","",
"臺灣中型100指數","9,652.81","-","32.68","-0.34","",
"臺灣資訊科技指數","16,838.21","-","207.03","-1.21","",
"臺灣發達指數","8,297.75","-","56.56","-0.68","",
"臺灣高股息指數","6,803.22","-","59.43","-0.87","",
"臺灣就業99指數","6,908.06","-","47.83","-0.69","",
"臺灣高薪100指數","6,459.96","-","47.04","-0.72","",
"未含金融指數","11,050.88","-","89.35","-0.80","",
"未含電子指數","14,442.79","-","37.34","-0.26","",
"未含金融電子指數","12,077.02","-","36.63","-0.30","",
"小型股300指數","7,016.85","-","24.39","-0.35","",
"水泥窯製類指數","616.91","+","2.76","0.45","",
"塑膠化工類指數","768.30","-","5.99","-0.77","",
"機電類指數","3,387.80","-","34.69","-1.01","",
"水泥類指數","171.71","+","0.52","0.30","",
"食品類指數","1,751.57","-","0.86","-0.05","",
"塑膠類指數","221.29","-","2.71","-1.21","",
"紡織纖維類指數","510.51","-","3.08","-0.60","",
"電機機械類指數","201.99","-","2.32","-1.14","",
"電器電纜類指數","53.19","-","0.40","-0.75","",
"化學生技醫療類指數","106.65","+","0.56","0.53","",
"化學類指數","110.27","+","0.22","0.20","",
"生技醫療類指數","71.00","+","0.60","0.85","",
"玻璃陶瓷類指數","32.31","+","0.60","1.89","",
"造紙類指數","254.00","+","6.19","2.50","",
"鋼鐵類指數","90.03","-","0.79","-0.87","",
"橡膠類指數","256.48","-","2.51","-0.97","",
"汽車類指數","322.53","-","4.36","-1.33","",
"電子工業類指數","606.73","-","6.20","-1.01","",
"半導體類指數","281.67","-","3.69","-1.29","",
"電腦及週邊設備類指數","120.31","-","0.85","-0.70","",
"光電類指數","38.38","-","0.24","-0.62","",
"通信網路類指數","123.76","-","0.27","-0.22","",
"電子零組件類指數","135.20","-","0.95","-0.70","",
"電子通路類指數","129.90","+","0.48","0.37","",
"資訊服務類指數","126.90","-","0.27","-0.21","",
"其他電子類指數","79.14","-","0.67","-0.84","",
"建材營造類指數","321.83","+","1.97","0.62","",
"航運類指數","63.21","-","0.05","-0.08","",
"觀光類指數","88.78","-","0.08","-0.09","",
"金融保險類指數","1,262.31","-","2.01","-0.16","",
"貿易百貨類指數","260.71","+","4.05","1.58","",
"油電燃氣類指數","109.67","-","1.32","-1.19","",
"其他類指數","298.81","+","1.63","0.55","",
"臺指日報酬兩倍指數","22,005.11","-","324.39","-1.45","",
"臺指反向一倍指數","5,769.20","+","41.60","0.73","",
"電子類兩倍槓桿指數","22,462.81","-","463.82","-2.02","",
"電子類反向指數","5,252.79","+","52.60","1.01","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技指數","4,785.37","+","113.87","2.44","",
"臺灣中小型公司治理指數","6,356.39","-","70.52","-1.10","",
"臺灣IPO指數","5,855.33","-","14.61","-0.25","",
"智慧中立指數","4,520.62","+","3.14","0.07","",
"臺灣企業社會責任中小型指數","5,232.14","-","34.70","-0.66","",
"價格指數(臺灣指數公司)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"金融類日報酬兩倍指數","18,741.74","-","59.78","-0.32","",
"金融類日報酬反向一倍指數","6,437.65","+","10.22","0.16","",
"漲升股利150指數","6,614.62","-","65.29","-0.98","",
"漲升股利100指數","6,445.08","-","65.18","-1.00","",
"藍籌30指數","6,586.42","-","48.97","-0.74","",
"工業菁英30指數","7,070.13","-","67.86","-0.95","",
"電子菁英30指數","7,234.61","-","34.78","-0.48","",
"低波動股利精選30指數","5,794.65","-","21.56","-0.37","",
"低貝塔100指數","5,935.69","-","9.66","-0.16","",
"藍籌30反向一倍指數","6,931.78","+","50.78","0.74","",
"中小型精選50指數","6,219.53","+","17.45","0.28","",
"中小型A級動能50指數","9,348.17","-","23.15","-0.25","",
"特選高息低波指數","5,451.99","-","10.55","-0.19","",
"臺灣永續指數","6,429.54","-","55.61","-0.86","",
"工業菁英30反向一倍指數","7,390.70","+","69.60","0.95","",
"特選內需高收益指數","5,610.58","-","4.55","-0.08","",
"價值投資指數","6,525.90","-","39.75","-0.61","",
"中小型300指數","6,643.14","-","25.79","-0.39","",
"臺灣勞工權益指數","5,797.87","-","35.02","-0.60","",
"智慧投資多因子30指數","5,082.18","-","19.49","-0.38","",
"臺股期貨指數","5,837.72","-","37.09","-0.63","",
"臺灣上櫃企業社會責任指數","4,939.05","-","51.67","-1.04","",
"特選Smart多因子指數","4,937.80","-","34.81","-0.70","",
"報酬指數(臺灣證券交易所)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價報酬指數","18,916.92","-","127.88","-0.67","",
"發行量加權股價報酬指數","24,544.98","-","179.06","-0.72","",
"臺灣公司治理100報酬指數","9,446.10","-","88.59","-0.93","",
"臺灣50報酬指數","--","","--","--","",
"臺灣50權重上限30%報酬指數","--","","--","--","",
"臺灣中型100報酬指數","--","","--","--","",
"臺灣資訊科技報酬指數","--","","--","--","",
"臺灣發達報酬指數","--","","--","--","",
"臺灣高股息報酬指數","--","","--","--","",
"臺灣就業99報酬指數","9,873.37","-","68.35","-0.69","",
"臺灣高薪100報酬指數","8,410.92","-","61.24","-0.72","",
"未含金融電子報酬指數","23,517.62","-","69.39","-0.29","",
"小型股300報酬指數","8,531.19","-","27.99","-0.33","",
"水泥類報酬指數","304.93","+","0.94","0.31","",
"食品類報酬指數","2,527.58","-","1.24","-0.05","",
"塑膠類報酬指數","364.36","-","4.47","-1.21","",
"紡織纖維類報酬指數","775.44","-","4.69","-0.60","",
"電機機械類報酬指數","290.44","-","3.13","-1.07","",
"電器電纜類報酬指數","75.10","-","0.57","-0.75","",
"化學生技醫療類報酬指數","156.49","+","0.82","0.53","",
"化學類報酬指數","171.20","+","0.34","0.20","",
"生技醫療類報酬指數","95.24","+","0.80","0.85","",
"玻璃陶瓷類報酬指數","37.12","+","0.69","1.89","",
"造紙類報酬指數","364.72","+","8.89","2.50","",
"鋼鐵類報酬指數","137.94","-","1.22","-0.88","",
"橡膠類報酬指數","382.07","-","3.74","-0.97","",
"汽車類報酬指數","481.44","-","6.51","-1.33","",
"電子工業類報酬指數","1,061.99","-","10.85","-1.01","",
"半導體類報酬指數","467.16","-","6.11","-1.29","",
"電腦及週邊設備類報酬指數","233.86","-","1.65","-0.70","",
"光電類報酬指數","52.43","-","0.32","-0.61","",
"通信網路類報酬指數","242.03","-","0.54","-0.22","",
"電子零組件類報酬指數","235.76","-","1.67","-0.70","",
"電子通路類報酬指數","271.86","+","1.00","0.37","",
"資訊服務類報酬指數","263.26","-","0.56","-0.21","",
"其他電子類報酬指數","116.85","-","0.99","-0.84","",
"建材營造類報酬指數","573.10","+","3.99","0.70","",
"航運類報酬指數","87.82","-","0.07","-0.08","",
"觀光類報酬指數","116.92","-","0.10","-0.09","",
"金融保險類報酬指數","2,010.50","-","3.21","-0.16","",
"貿易百貨類報酬指數","383.95","+","5.97","1.58","",
"油電燃氣類報酬指數","165.06","-","1.99","-1.19","",
"其他類報酬指數","474.06","+","2.60","0.55","",
