"109年09月02日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","14,564.64","+","6.07","0.04","",
"發行量加權股價指數","12,699.50","-","3.78","-0.03","",
"臺灣公司治理100指數","7,391.09","-","16.74","-0.23","",
"臺灣50指數","10,088.03","-","18.66","-0.18","",
"臺灣50權重上限30%指數","9,556.08","-","11.51","-0.12","",
"臺灣中型100指數","9,626.62","+","38.29","0.40","",
"臺灣資訊科技指數","16,891.07","-","16.83","-0.10","",
"臺灣發達指數","8,140.22","+","16.81","0.21","",
"臺灣高股息指數","6,675.69","+","26.16","0.39","",
"臺灣就業99指數","6,828.59","-","19.64","-0.29","",
"臺灣高薪100指數","6,357.19","-","8.90","-0.14","",
"未含金融指數","11,010.77","+","7.00","0.06","",
"未含電子指數","14,250.17","-","46.90","-0.33","",
"未含金融電子指數","11,981.06","-","17.59","-0.15","",
"小型股300指數","7,079.75","+","15.39","0.22","",
"水泥窯製類指數","597.07","-","2.79","-0.47","",
"塑膠化工類指數","752.58","-","1.17","-0.16","",
"機電類指數","3,383.71","+","5.50","0.16","",
"水泥類指數","166.28","-","0.67","-0.40","",
"食品類指數","1,684.21","-","13.27","-0.78","",
"塑膠類指數","214.22","-","0.11","-0.05","",
"紡織纖維類指數","505.64","-","1.74","-0.34","",
"電機機械類指數","205.79","+","1.00","0.49","",
"電器電纜類指數","54.54","+","0.39","0.72","",
"化學生技醫療類指數","107.06","+","0.17","0.16","",
"化學類指數","109.31","+","0.45","0.41","",
"生技醫療類指數","72.14","-","0.07","-0.10","",
"玻璃陶瓷類指數","31.10","-","0.35","-1.11","",
"造紙類指數","269.32","-","5.04","-1.84","",
"鋼鐵類指數","92.08","+","0.98","1.08","",
"橡膠類指數","254.77","-","3.48","-1.35","",
"汽車類指數","322.46","-","1.26","-0.39","",
"電子工業類指數","605.63","+","0.92","0.15","",
"半導體類指數","282.93","-","0.36","-0.13","",
"電腦及週邊設備類指數","118.24","+","0.39","0.33","",
"光電類指數","39.26","+","0.89","2.32","",
"通信網路類指數","123.66","+","0.15","0.12","",
"電子零組件類指數","129.92","+","0.09","0.07","",
"電子通路類指數","125.85","+","0.18","0.14","",
"資訊服務類指數","126.87","+","0.05","0.04","",
"其他電子類指數","78.96","+","0.64","0.82","",
"建材營造類指數","326.39","-","1.34","-0.41","",
"航運類指數","66.44","+","0.21","0.32","",
"觀光類指數","86.89","+","0.71","0.82","",
"金融保險類指數","1,230.41","-","9.10","-0.73","",
"貿易百貨類指數","262.11","-","2.36","-0.89","",
"油電燃氣類指數","106.21","-","0.01","-0.01","",
"其他類指數","294.49","-","0.37","-0.13","",
"臺指日報酬兩倍指數","21,692.92","-","12.92","-0.06","",
"臺指反向一倍指數","5,794.67","+","1.72","0.03","",
"電子類兩倍槓桿指數","22,322.10","+","67.72","0.30","",
