"109年08月11日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","14,608.02","-","131.93","-0.90","",
"發行量加權股價指數","12,780.19","-","113.81","-0.88","",
"臺灣公司治理100指數","7,499.99","-","71.16","-0.94","",
"臺灣50指數","10,270.99","-","114.73","-1.10","",
"臺灣50權重上限30%指數","9,790.44","-","100.56","-1.02","",
"臺灣中型100指數","9,603.32","-","36.72","-0.38","",
"臺灣資訊科技指數","17,029.99","-","233.35","-1.35","",
"臺灣發達指數","8,317.99","-","45.90","-0.55","",
"臺灣高股息指數","6,752.97","-","38.70","-0.57","",
"臺灣就業99指數","6,925.16","-","27.42","-0.39","",
"臺灣高薪100指數","6,478.70","-","48.37","-0.74","",
"未含金融指數","11,047.32","-","103.54","-0.93","",
"未含電子指數","14,266.06","-","54.06","-0.38","",
"未含金融電子指數","11,843.79","-","35.90","-0.30","",
"小型股300指數","6,844.45","-","45.57","-0.66","",
"水泥窯製類指數","601.15","+","1.74","0.29","",
"塑膠化工類指數","756.41","-","1.91","-0.25","",
"機電類指數","3,410.20","-","39.52","-1.15","",
"水泥類指數","167.89","-","0.61","-0.36","",
"食品類指數","1,725.59","-","8.56","-0.49","",
"塑膠類指數","220.80","-","0.11","-0.05","",
"紡織纖維類指數","504.06","-","3.15","-0.62","",
"電機機械類指數","195.62","+","1.31","0.67","",
"電器電纜類指數","51.11","-","0.66","-1.27","",
"化學生技醫療類指數","103.15","-","1.67","-1.59","",
"化學類指數","108.22","-","1.21","-1.11","",
"生技醫療類指數","67.68","-","1.45","-2.10","",
"玻璃陶瓷類指數","30.43","+","2.15","7.60","",
"造紙類指數","234.99","+","2.08","0.89","",
"鋼鐵類指數","89.38","+","0.34","0.38","",
"橡膠類指數","242.84","+","3.50","1.46","",
"汽車類指數","329.61","-","3.91","-1.17","",
"電子工業類指數","611.41","-","7.33","-1.18","",
"半導體類指數","287.44","-","4.02","-1.38","",
"電腦及週邊設備類指數","114.67","-","1.24","-1.07","",
"光電類指數","38.82","-","0.76","-1.92","",
"通信網路類指數","122.11","-","0.58","-0.47","",
"電子零組件類指數","134.09","-","0.68","-0.50","",
"電子通路類指數","127.44","+","1.25","0.99","",
"資訊服務類指數","125.72","-","0.59","-0.47","",
"其他電子類指數","80.20","-","0.85","-1.05","",
"建材營造類指數","310.66","+","0.64","0.21","",
"航運類指數","60.02","-","0.19","-0.32","",
"觀光類指數","87.04","+","1.00","1.16","",
"金融保險類指數","1,266.64","-","6.88","-0.54","",
"貿易百貨類指數","256.28","+","0.28","0.11","",
"油電燃氣類指數","109.53","-","0.62","-0.56","",
"其他類指數","287.47","-","2.67","-0.92","",
"臺指日報酬兩倍指數","22,018.91","-","395.69","-1.77","",
"臺指反向一倍指數","5,770.74","+","50.49","0.88","",
"電子類兩倍槓桿指數","22,825.77","-","553.94","-2.37","",
"電子類反向指數","5,216.02","+","61.07","1.18","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技指數","4,574.03","-","85.61","-1.84","",
"臺灣中小型公司治理指數","6,364.75","-","34.47","-0.54","",
"臺灣IPO指數","5,831.31","-","124.79","-2.10","",
"智慧中立指數","--","","--","--","",
"臺灣企業社會責任中小型指數","5,155.68","-","32.07","-0.62","",
"價格指數(臺灣指數公司)"
