"112年06月21日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","19,694.72","+","11.89","0.06","",
"發行量加權股價指數","17,202.40","+","17.49","0.10","",
"臺灣公司治理100指數","9,804.18","+","4.52","0.05","",
"臺灣50指數","12,982.59","-","16.53","-0.13","",
"臺灣50權重上限30%指數","12,154.06","-","6.35","-0.05","",
"臺灣中型100指數","16,402.76","+","118.04","0.72","",
"臺灣資訊科技指數","23,530.57","+","11.75","0.05","",
"臺灣發達指數","10,636.53","-","9.70","-0.09","",
"臺灣高股息指數","7,612.18","+","80.35","1.07","",
"臺灣就業99指數","10,994.72","+","81.64","0.75","",
"臺灣高薪100指數","9,475.75","+","11.30","0.12","",
"未含金融指數","14,947.22","+","11.28","0.08","",
"未含電子指數","18,996.92","+","36.82","0.19","",
"未含金融電子指數","15,980.13","+","23.19","0.15","",
"小型股300指數","9,716.88","+","42.84","0.44","",
"水泥窯製類指數","669.23","+","2.75","0.41","",
"塑膠化工類指數","872.04","-","0.58","-0.07","",
"機電類指數","4,662.17","+","3.47","0.07","",
"水泥類指數","175.41","+","0.45","0.26","",
"食品類指數","2,095.44","+","0.08","--","",
"塑膠類指數","249.78","+","0.54","0.22","",
"紡織纖維類指數","610.34","+","7.34","1.22","",
"電機機械類指數","327.19","+","4.30","1.33","",
"電器電纜類指數","116.55","-","1.08","-0.92","",
"化學生技醫療類指數","127.16","-","0.88","-0.69","",
"化學類指數","147.24","-","0.35","-0.24","",
"生技醫療類指數","75.05","-","0.85","-1.12","",
"玻璃陶瓷類指數","54.63","+","0.77","1.43","",
"造紙類指數","391.11","+","13.33","3.53","",
"鋼鐵類指數","145.25","-","0.16","-0.11","",
"橡膠類指數","260.26","-","0.11","-0.04","",
"汽車類指數","448.72","+","1.86","0.42","",
"電子工業類指數","828.82","+","0.38","0.05","",
"半導體類指數","387.93","-","1.36","-0.35","",
"電腦及週邊設備類指數","196.21","+","4.52","2.36","",
"光電類指數","38.00","+","0.44","1.17","",
"通信網路類指數","143.22","-","0.50","-0.35","",
"電子零組件類指數","191.48","-","0.53","-0.28","",
"電子通路類指數","188.35","+","0.99","0.53","",
"資訊服務類指數","181.80","-","2.02","-1.10","",
"其他電子類指數","109.85","+","0.40","0.37","",
"建材營造類指數","384.97","+","2.30","0.60","",
"航運類指數","174.80","-","1.66","-0.94","",
"觀光類指數","167.48","-","2.15","-1.27","",
"金融保險類指數","1,643.03","+","5.07","0.31","",
"貿易百貨類指數","291.29","+","2.89","1.00","",
"油電燃氣類指數","117.36","+","0.85","0.73","",
"其他類指數","376.71","-","1.27","-0.34","",
"臺指日報酬兩倍指數","36,708.14","+","74.57","0.20","",
"臺指反向一倍指數","3,945.84","-","4.02","-0.10","",
"電子類兩倍槓桿指數","37,186.15","+","34.08","0.09","",
"電子類反向指數","3,410.13","-","1.56","-0.05","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技指數","4,225.69","-","53.31","-1.25","",
"臺灣中小型公司治理指數","8,583.67","+","10.16","0.12","",
"臺灣IPO指數","5,237.42","-","13.65","-0.26","",
"智慧中立指數","3,434.33","-","18.64","-0.54","",
"臺灣5G指數","8,375.19","-","28.40","-0.34","",
"臺灣企業社會責任中小型指數","10,032.29","+","80.57","0.81","",
"特選臺灣電動車代表指數","8,418.65","+","117.11","1.41","",
"臺灣5G+通訊指數","6,628.96","+","12.10","0.18","",
"臺灣全市場指數","5,853.29","+","2.38","0.04","",
"臺灣全市場半導體指數","5,519.95","-","21.83","-0.39","",
"臺灣智慧移動與電動車指數","4,544.74","+","18.73","0.41","",
"特選小資高價30指數","5,426.47","-","22.50","-0.41","",
"特選臺灣綠能及電動車指數","5,409.70","+","30.21","0.56","",
"特選臺灣智能車供應鏈聯盟指數","4,973.22","-","5.87","-0.12","",
"臺灣全市場半導體精選30指數","4,415.92","-","28.08","-0.63","",
"特選臺灣高股息30指數","4,322.08","+","29.96","0.70","",
"臺灣友善環境指數","5,257.88","+","14.05","0.27","",
"台灣永續價值指數","4,899.16","+","6.82","0.14","",
"特選臺灣IC設計指數","3,606.71","-","39.12","-1.07","",
"特選臺灣環境永續高股息指數","5,019.45","+","23.62","0.47","",
"臺灣友善環境50指數","4,362.81","-","7.83","-0.18","",
"特選臺灣IC設計產業代表指數","4,443.32","-","48.88","-1.09","",
"特選臺灣綠能指數","5,525.07","-","20.27","-0.37","",
"特選臺灣智慧50指數","4,194.06","-","15.50","-0.37","",
"特選臺灣標竿PCB指數","4,167.51","+","0.15","--","",
"臺灣晶圓製造指數","4,999.03","-","31.49","-0.63","",
"臺灣精選高息指數","4,395.69","-","7.10","-0.16","",
"臺灣多因子優選高股息30指數","5,797.03","+","68.48","1.20","",
"特選臺灣優利高填息30指數","5,647.29","+","64.48","1.15","",
"臺灣多因子優選成長30指數","6,531.54","+","21.74","0.33","",
"特選臺灣科技優息指數","7,021.52","+","115.12","1.67","",
"臺灣工業4.0指數","5,930.18","+","29.91","0.51","",
"臺灣半導體收益指數","5,366.05","-","19.11","-0.35","",
"臺灣優選成長高股息指數","5,614.01","+","46.51","0.84","",
"特選臺灣ESG低碳高息40指數","6,280.70","+","108.60","1.76","",
"價格指數(臺灣指數公司)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"金融類日報酬兩倍指數","29,671.30","+","182.55","0.62","",
"金融類日報酬反向一倍指數","4,622.36","-","14.35","-0.31","",
"漲升股利150指數","8,846.03","-","15.41","-0.17","",
"藍籌30指數","8,038.15","-","20.62","-0.26","",
"工業菁英30指數","8,574.94","-","0.99","-0.01","",
"電子菁英30指數","9,139.88","-","36.03","-0.39","",
"低波動股利精選30指數","7,334.52","+","48.83","0.67","",
"中小型A級動能50指數","20,116.49","+","298.64","1.51","",
"特選高息低波指數","8,137.41","-","13.21","-0.16","",
"臺灣永續指數","8,732.55","+","9.59","0.11","",
"價值投資指數","6,624.87","-","12.63","-0.19","",
"存股雙十等權重指數","7,475.36","-","17.35","-0.23","",
"特選大蘋果指數","8,536.91","+","22.61","0.27","",
"中小型300指數","10,242.80","+","57.17","0.56","",
"臺灣500指數","8,845.75","+","8.20","0.09","",
"臺灣勞工權益指數","7,945.25","+","0.81","0.01","",
"微波高息精選20指數","7,196.71","+","33.16","0.46","",
"特選世代行動通訊指數","6,772.51","-","0.62","-0.01","",
"智慧投資多因子30指數","5,516.24","-","32.29","-0.58","",
"臺股期貨指數","9,201.81","-","4.33","-0.05","",
"特選價值成長指數","7,471.92","+","24.03","0.32","",
"臺灣上櫃永續指數","6,558.12","-","74.35","-1.12","",
"特選台股領航指數","7,593.36","+","19.08","0.25","",
"特選Smart多因子指數","6,415.05","-","3.08","-0.05","",
"特選ESG高股息指數","4,873.65","+","49.32","1.02","",
"特選上櫃ESG成長指數","4,674.35","-","93.54","-1.96","",
"特選上櫃ESG電子菁英指數","4,775.52","-","84.80","-1.74","",
"臺灣優息存股指數","4,910.02","-","11.91","-0.24","",
"特選上櫃ESG永續高股息指數","6,386.68","-","90.14","-1.39","",
"特選臺灣金融高股息存股指數","5,288.56","+","16.91","0.32","",
"特選臺灣產業龍頭存股等權重指數","6,315.35","-","4.09","-0.06","",
"上櫃ESG 30指數","5,984.25","-","27.30","-0.45","",
"臺灣ESG低碳50指數","5,759.57","-","8.90","-0.15","",
"報酬指數(臺灣證券交易所)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價報酬指數","27,807.96","+","18.96","0.07","",
"發行量加權股價報酬指數","36,095.11","+","39.67","0.11","",
"臺灣公司治理100報酬指數","13,611.43","+","6.28","0.05","",
"臺灣50報酬指數","--","","--","--","",
"臺灣50權重上限30%報酬指數","--","","--","--","",
"臺灣中型100報酬指數","--","","--","--","",
"臺灣資訊科技報酬指數","--","","--","--","",
"臺灣發達報酬指數","--","","--","--","",
"臺灣高股息報酬指數","--","","--","--","",
"臺灣就業99報酬指數","17,248.09","+","128.08","0.75","",
"臺灣高薪100報酬指數","13,812.69","+","16.48","0.12","",
"未含金融電子報酬指數","34,216.25","+","54.61","0.16","",
"小型股300報酬指數","12,988.00","+","65.61","0.51","",
"水泥類報酬指數","348.58","+","0.91","0.26","",
"食品類報酬指數","3,279.66","+","0.13","--","",
"塑膠類報酬指數","460.08","+","1.00","0.22","",
"紡織纖維類報酬指數","1,013.16","+","12.18","1.22","",
"電機機械類報酬指數","497.17","+","6.53","1.33","",
"電器電纜類報酬指數","184.98","-","1.72","-0.92","",
"化學生技醫療類報酬指數","201.55","-","1.10","-0.54","",
"化學類報酬指數","251.23","+","0.13","0.05","",
"生技醫療類報酬指數","106.92","-","1.21","-1.12","",
"玻璃陶瓷類報酬指數","69.06","+","0.98","1.44","",
