"109年07月23日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","14,255.32","-","64.35","-0.45","",
"發行量加權股價指數","12,413.04","-","60.23","-0.48","",
"臺灣公司治理100指數","7,173.94","-","31.51","-0.44","",
"臺灣50指數","9,751.76","-","67.50","-0.69","",
"臺灣50權重上限30%指數","9,428.40","-","65.99","-0.70","",
"臺灣中型100指數","9,567.04","+","27.56","0.29","",
"臺灣資訊科技指數","15,617.87","-","4.73","-0.03","",
"臺灣發達指數","8,364.04","-","108.58","-1.28","",
"臺灣高股息指數","6,792.76","+","20.46","0.30","",
"臺灣就業99指數","6,839.54","-","10.73","-0.16","",
"臺灣高薪100指數","6,393.38","-","33.44","-0.52","",
"未含金融指數","10,672.92","-","51.66","-0.48","",
"未含電子指數","14,388.86","-","89.74","-0.62","",
"未含金融電子指數","11,940.45","-","81.62","-0.68","",
"小型股300指數","6,898.35","+","1.19","0.02","",
"水泥窯製類指數","597.12","-","19.96","-3.23","",
"塑膠化工類指數","755.78","-","5.24","-0.69","",
"機電類指數","3,238.75","-","12.12","-0.37","",
"水泥類指數","167.48","-","5.82","-3.36","",
"食品類指數","1,780.10","-","3.22","-0.18","",
"塑膠類指數","219.42","-","2.07","-0.93","",
"紡織纖維類指數","508.32","-","2.58","-0.50","",
"電機機械類指數","193.92","+","1.12","0.58","",
"電器電纜類指數","48.80","-","0.13","-0.27","",
"化學生技醫療類指數","105.05","-","0.17","-0.16","",
"化學類指數","107.47","+","0.05","0.05","",
"生技醫療類指數","70.64","-","0.25","-0.35","",
"玻璃陶瓷類指數","28.87","-","0.55","-1.87","",
"造紙類指數","238.13","-","0.42","-0.18","",
"鋼鐵類指數","90.43","-","0.04","-0.04","",
"橡膠類指數","240.63","-","0.85","-0.35","",
"汽車類指數","348.52","-","2.25","-0.64","",
"電子工業類指數","580.10","-","2.30","-0.39","",
"半導體類指數","262.20","+","0.09","0.03","",
"電腦及週邊設備類指數","116.46","+","0.47","0.41","",
"光電類指數","38.91","-","0.77","-1.94","",
"通信網路類指數","125.02","-","1.05","-0.83","",
"電子零組件類指數","129.95","-","0.39","-0.30","",
"電子通路類指數","128.84","+","0.34","0.26","",
"資訊服務類指數","128.98","-","1.20","-0.92","",
"其他電子類指數","82.06","-","2.58","-3.05","",
"建材營造類指數","311.42","-","1.01","-0.32","",
