"113年09月06日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","24,415.65","+","261.99","1.08","",
"發行量加權股價指數","21,435.19","+","247.48","1.17","",
"臺灣公司治理100指數","12,507.39","+","181.74","1.47","",
"臺灣50指數","17,409.44","+","258.94","1.51","",
"臺灣50權重上限30%指數","15,240.76","+","205.75","1.37","",
"臺灣中型100指數","19,125.91","+","127.80","0.67","",
"臺灣資訊科技指數","34,360.12","+","526.94","1.56","",
"臺灣發達指數","9,803.33","+","88.84","0.91","",
"臺灣高股息指數","9,342.99","+","86.88","0.94","",
"臺灣就業99指數","12,905.27","+","118.64","0.93","",
"臺灣高薪100指數","11,281.85","+","120.78","1.08","",
"未含金融指數","18,634.11","+","220.58","1.20","",
"未含電子指數","19,626.45","+","121.64","0.62","",
"未含金融電子指數","15,132.89","+","69.62","0.46","",
"小型股300指數","11,330.24","+","53.66","0.48","",
"水泥窯製類指數","593.90","+","2.95","0.50","",
"塑膠化工類指數","677.60","+","6.64","0.99","",
"機電類指數","6,369.64","+","85.50","1.36","",
"水泥類指數","157.34","+","0.81","0.52","",
"食品類指數","2,272.52","+","19.60","0.87","",
"塑膠類指數","138.37","+","0.91","0.66","",
"紡織纖維類指數","645.09","+","3.82","0.60","",
"電機機械類指數","377.27","-","2.10","-0.55","",
"電器電纜類指數","107.53","-","1.06","-0.98","",
"化學生技醫療類指數","139.14","+","1.69","1.23","",
"化學類指數","165.82","+","1.00","0.61","",
"生技醫療類指數","77.98","+","1.27","1.66","",
"玻璃陶瓷類指數","44.74","+","0.15","0.34","",
"造紙類指數","307.38","-","0.69","-0.22","",
"鋼鐵類指數","130.90","+","0.24","0.18","",
"橡膠類指數","285.37","+","3.22","1.14","",
"汽車類指數","379.85","+","4.58","1.22","",
"電子工業類指數","1,140.86","+","16.02","1.42","",
"半導體類指數","570.45","+","9.45","1.68","",
"電腦及週邊設備類指數","246.70","+","4.91","2.03","",
"光電類指數","40.45","-","0.71","-1.72","",
"通信網路類指數","157.81","+","1.40","0.90","",
"電子零組件類指數","223.39","+","2.20","0.99","",
"電子通路類指數","255.94","-","0.61","-0.24","",
"資訊服務類指數","188.62","+","2.32","1.25","",
"其他電子類指數","160.99","+","1.29","0.81","",
"建材營造類指數","625.48","-","1.76","-0.28","",
"航運類指數","176.02","+","0.15","0.09","",
"觀光餐旅類指數","117.77","-","0.06","-0.05","",
"金融保險類指數","2,039.40","+","18.75","0.93","",
"貿易百貨類指數","308.64","+","1.46","0.48","",
"油電燃氣類指數","72.11","+","0.75","1.05","",
"綠能環保類指數","117.86","-","0.43","-0.36","",
"數位雲端類指數","65.86","+","0.29","0.44","",
"運動休閒類指數","100.68","+","1.87","1.89","",
"居家生活類指數","133.43","-","0.42","-0.31","",
"其他類指數","361.22","+","1.49","0.41","",
"臺指日報酬兩倍指數","54,718.19","+","1,249.08","2.34","",
"臺指反向一倍指數","3,036.66","-","35.89","-1.17","",
"電子類兩倍槓桿指數","66,047.91","+","1,829.21","2.85","",
"電子類反向指數","2,324.64","-","33.59","-1.42","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技指數","4,266.33","+","37.77","0.89","",
"臺灣中小型公司治理指數","10,029.84","+","103.31","1.04","",
"臺灣IPO指數","5,351.02","+","13.91","0.26","",
"智慧中立指數","3,926.30","+","21.36","0.55","",
"臺灣5G指數","10,694.37","+","128.28","1.21","",
"臺灣企業社會責任中小型指數","11,556.83","+","62.20","0.54","",
"特選臺灣電動車代表指數","9,652.62","+","91.77","0.96","",
"臺灣5G+通訊指數","9,303.75","+","134.94","1.47","",
"臺灣全市場指數","7,447.35","+","84.35","1.15","",
"臺灣全市場半導體指數","7,273.01","+","97.40","1.36","",
"臺灣智慧移動與電動車指數","5,498.44","+","47.99","0.88","",
"特選小資高價30指數","7,371.39","+","75.18","1.03","",
"特選臺灣綠能及電動車指數","5,774.41","+","57.69","1.01","",
"特選臺灣智能車供應鏈聯盟指數","6,680.26","+","87.89","1.33","",
"臺灣全市場半導體精選30指數","5,735.39","+","72.22","1.28","",
"特選臺灣高股息30指數","5,215.11","+","37.40","0.72","",
"臺灣友善環境指數","6,519.28","+","80.87","1.26","",
"台灣永續價值指數","5,996.93","+","74.88","1.26","",
"特選臺灣IC設計指數","4,099.01","+","61.14","1.51","",
"特選臺灣環境永續高股息指數","6,891.43","+","50.65","0.74","",
"臺灣友善環境50指數","5,413.24","+","77.79","1.46","",
"特選臺灣IC設計產業代表指數","5,386.00","+","71.44","1.34","",
"特選臺灣綠能指數","5,468.15","+","6.94","0.13","",
"特選臺灣智慧50指數","5,051.85","+","53.00","1.06","",
"臺灣晶圓製造指數","6,016.61","+","62.09","1.04","",
"臺灣精選高息指數","5,306.24","+","40.61","0.77","",
"臺灣多因子優選高股息30指數","8,723.71","+","73.98","0.86","",
"特選臺灣優利高填息30指數","7,148.64","+","62.76","0.89","",
"特選臺灣科技優息指數","8,824.86","+","51.37","0.59","",
"臺灣半導體收益指數","6,616.44","+","73.65","1.13","",
"臺灣優選成長高股息指數","7,737.87","+","50.16","0.65","",
"特選臺灣ESG低碳高息40指數","8,124.59","+","76.30","0.95","",
"臺灣優選多因子30指數","8,348.72","+","69.45","0.84","",
"臺灣創新科技50指數","7,014.85","+","104.05","1.51","",
"臺灣全市場新經濟產業指數","5,066.45","+","60.76","1.21","",
"臺灣ESG永續高股息等權重指數","6,198.22","+","52.22","0.85","",
"臺灣永續高息中小型指數","5,808.35","+","26.02","0.45","",
"特選臺灣高息優質成長指數","6,078.67","+","55.21","0.92","",
"特選臺灣高息動能指數","6,461.05","+","41.88","0.65","",
"臺灣電子成長高息等權重指數","5,571.39","+","67.95","1.23","",
"特選臺灣優利成長指數","5,191.04","+","25.91","0.50","",
"臺灣價值高息指數","5,450.73","+","29.07","0.54","",
"特選臺灣IC設計動能指數","4,647.96","+","47.79","1.04","",
"臺灣科技高股息指數","5,521.79","+","15.37","0.28","",
"臺灣趨勢動能高股息指數","5,720.59","+","49.86","0.88","",
"特選臺灣科技高息成長指數","5,376.62","+","32.05","0.60","",
"特選臺灣AI優息動能指數","4,681.31","+","68.23","1.48","",
"臺灣優選AI 50指數","4,815.47","+","31.69","0.66","",
"價格指數(臺灣指數公司)"
