"112年03月29日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","18,105.00","+","65.73","0.36","",
"發行量加權股價指數","15,769.76","+","68.28","0.43","",
"臺灣公司治理100指數","9,025.61","+","51.00","0.57","",
"臺灣50指數","12,063.05","+","70.54","0.59","",
"臺灣50權重上限30%指數","11,360.83","+","53.26","0.47","",
"臺灣中型100指數","14,050.36","+","43.25","0.31","",
"臺灣資訊科技指數","21,175.94","+","119.53","0.57","",
"臺灣發達指數","10,119.92","+","56.65","0.56","",
"臺灣高股息指數","6,593.98","+","21.98","0.33","",
"臺灣就業99指數","9,715.74","+","78.99","0.82","",
"臺灣高薪100指數","8,534.31","+","32.81","0.39","",
"未含金融指數","13,677.81","+","57.73","0.42","",
"未含電子指數","17,861.68","+","74.66","0.42","",
"未含金融電子指數","15,096.07","+","56.78","0.38","",
"小型股300指數","8,899.95","+","3.64","0.04","",
"水泥窯製類指數","636.42","+","4.00","0.63","",
"塑膠化工類指數","858.27","+","5.07","0.59","",
"機電類指數","4,202.66","+","19.55","0.47","",
"水泥類指數","165.18","+","0.65","0.40","",
"食品類指數","1,950.74","+","10.67","0.55","",
"塑膠類指數","250.55","+","1.17","0.47","",
"紡織纖維類指數","586.88","+","7.25","1.25","",
"電機機械類指數","276.88","+","3.36","1.23","",
"電器電纜類指數","114.07","+","0.78","0.69","",
"化學生技醫療類指數","121.54","+","0.96","0.80","",
"化學類指數","134.26","-","0.31","-0.23","",
"生技醫療類指數","74.99","+","1.29","1.75","",
"玻璃陶瓷類指數","55.36","+","1.15","2.12","",
"造紙類指數","301.38","-","1.14","-0.38","",
"鋼鐵類指數","147.24","+","0.47","0.32","",
"橡膠類指數","246.75","+","2.08","0.85","",
"汽車類指數","356.25","+","2.30","0.65","",
"電子工業類指數","747.95","+","3.31","0.44","",
"半導體類指數","358.98","+","1.89","0.53","",
"電腦及週邊設備類指數","143.31","+","0.48","0.34","",
"光電類指數","36.00","+","0.23","0.64","",
"通信網路類指數","136.76","+","0.91","0.67","",
"電子零組件類指數","168.14","-","0.33","-0.20","",
"電子通路類指數","181.92","+","1.22","0.68","",
"資訊服務類指數","149.24","","--","--","",
"其他電子類指數","99.62","+","0.33","0.33","",
"建材營造類指數","365.97","-","0.20","-0.05","",
"航運類指數","162.86","-","0.31","-0.19","",
