"109年07月30日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","14,541.79","+","206.44","1.44","",
"發行量加權股價指數","12,722.92","+","181.95","1.45","",
"臺灣公司治理100指數","7,518.08","+","119.95","1.62","",
"臺灣50指數","10,297.72","+","174.02","1.72","",
"臺灣50權重上限30%指數","9,795.91","+","141.52","1.47","",
"臺灣中型100指數","9,442.32","+","132.04","1.42","",
"臺灣資訊科技指數","17,150.72","+","400.28","2.39","",
"臺灣發達指數","8,189.57","+","77.41","0.95","",
"臺灣高股息指數","6,734.33","+","95.72","1.44","",
"臺灣就業99指數","6,878.37","+","105.99","1.57","",
"臺灣高薪100指數","6,434.24","+","64.54","1.01","",
"未含金融指數","10,987.49","+","171.43","1.58","",
"未含電子指數","14,088.75","+","101.00","0.72","",
"未含金融電子指數","11,615.20","+","96.70","0.84","",
"小型股300指數","6,710.54","+","59.52","0.89","",
"水泥窯製類指數","584.23","+","4.30","0.74","",
"塑膠化工類指數","734.33","+","7.10","0.98","",
"機電類指數","3,408.48","+","63.34","1.89","",
"水泥類指數","164.11","+","1.10","0.67","",
"食品類指數","1,766.18","+","22.47","1.29","",
"塑膠類指數","212.72","+","1.58","0.75","",
"紡織纖維類指數","486.67","+","9.31","1.95","",
"電機機械類指數","191.41","+","4.32","2.31","",
"電器電纜類指數","47.49","+","0.43","0.91","",
"化學生技醫療類指數","102.97","+","1.31","1.29","",
"化學類指數","106.33","+","1.04","0.99","",
"生技醫療類指數","68.62","+","1.07","1.58","",
"玻璃陶瓷類指數","27.79","+","0.41","1.50","",
"造紙類指數","223.96","-","0.81","-0.36","",
"鋼鐵類指數","87.73","+","0.29","0.33","",
"橡膠類指數","232.38","+","3.73","1.63","",
"汽車類指數","333.65","+","3.78","1.15","",
"電子工業類指數","611.59","+","11.33","1.89","",
"半導體類指數","289.42","+","6.80","2.41","",
"電腦及週邊設備類指數","114.81","+","2.16","1.92","",
"光電類指數","38.44","+","0.26","0.68","",
"通信網路類指數","123.30","+","0.63","0.51","",
"電子零組件類指數","129.85","+","2.10","1.64","",
"電子通路類指數","127.62","+","0.73","0.58","",
"資訊服務類指數","123.34","+","0.45","0.37","",
"其他電子類指數","78.77","+","0.32","0.41","",
"建材營造類指數","305.17","+","1.64","0.54","",
"航運類指數","57.41","+","0.27","0.47","",
"觀光類指數","86.77","+","0.54","0.63","",
