"113年04月09日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","23,694.99","+","385.64","1.65","",
"發行量加權股價指數","20,796.20","+","378.50","1.85","",
"臺灣公司治理100指數","11,983.64","+","266.09","2.27","",
"臺灣50指數","16,384.21","+","409.16","2.56","",
"臺灣50權重上限30%指數","14,737.91","+","233.30","1.61","",
"臺灣中型100指數","19,737.68","+","129.60","0.66","",
"臺灣資訊科技指數","32,512.62","+","864.98","2.73","",
"臺灣發達指數","10,109.02","+","99.31","0.99","",
"臺灣高股息指數","9,704.48","+","28.89","0.30","",
"臺灣就業99指數","12,813.54","+","136.84","1.08","",
"臺灣高薪100指數","11,036.97","+","115.53","1.06","",
"未含金融指數","18,237.28","+","348.63","1.95","",
"未含電子指數","19,468.80","+","255.88","1.33","",
"未含金融電子指數","15,742.90","+","228.42","1.47","",
"小型股300指數","11,265.25","+","100.55","0.90","",
"水泥窯製類指數","597.43","+","4.00","0.67","",
"塑膠化工類指數","784.57","+","7.42","0.95","",
"機電類指數","6,158.35","+","130.19","2.16","",
"水泥類指數","156.08","+","0.96","0.62","",
"食品類指數","2,132.14","+","18.65","0.88","",
"塑膠類指數","196.49","+","3.06","1.58","",
"紡織纖維類指數","633.96","+","5.71","0.91","",
"電機機械類指數","455.75","+","16.33","3.72","",
"電器電纜類指數","116.78","+","3.58","3.16","",
"化學生技醫療類指數","136.12","-","0.20","-0.15","",
"化學類指數","173.56","-","0.21","-0.12","",
"生技醫療類指數","72.65","-","0.12","-0.16","",
"玻璃陶瓷類指數","49.76","+","0.54","1.10","",
"造紙類指數","344.17","+","1.06","0.31","",
"鋼鐵類指數","149.17","+","5.28","3.67","",
"橡膠類指數","278.49","+","5.42","1.98","",
"汽車類指數","417.31","+","1.90","0.46","",
"電子工業類指數","1,095.36","+","22.59","2.11","",
"半導體類指數","532.37","+","18.17","3.53","",
"電腦及週邊設備類指數","277.08","-","1.93","-0.69","",
"光電類指數","38.66","+","0.36","0.94","",
"通信網路類指數","152.67","-","0.83","-0.54","",
"電子零組件類指數","228.91","-","0.60","-0.26","",
"電子通路類指數","276.91","-","0.93","-0.33","",
"資訊服務類指數","195.50","+","2.35","1.22","",
"其他電子類指數","143.64","+","0.14","0.10","",
"建材營造類指數","518.69","+","8.46","1.66","",
"航運類指數","156.17","+","3.06","2.00","",
"觀光餐旅類指數","127.44","+","0.80","0.63","",
"金融保險類指數","1,838.93","+","18.79","1.03","",
"貿易百貨類指數","286.65","+","1.48","0.52","",
"油電燃氣類指數","99.67","+","0.90","0.91","",
"綠能環保類指數","108.90","+","0.74","0.68","",
"數位雲端類指數","66.07","-","0.12","-0.18","",
"運動休閒類指數","95.99","+","0.69","0.72","",
"居家生活類指數","108.74","+","0.94","0.87","",
"其他類指數","366.34","+","3.05","0.84","",
"臺指日報酬兩倍指數","53,104.77","+","1,898.51","3.71","",
"臺指反向一倍指數","3,221.99","-","60.86","-1.85","",
"電子類兩倍槓桿指數","63,693.51","+","2,574.06","4.21","",
"電子類反向指數","2,527.20","-","54.36","-2.11","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技指數","4,131.03","-","13.54","-0.33","",
