上櫃股票每日收盤行情(不含定價)
產業類別:所有證券(不含權證、牛熊證)
資料日期:114/08/01
代號,名稱,收盤 ,漲跌,開盤 ,最高 ,最低,成交股數  , 成交金額(元), 成交筆數 ,最後買價,最後買量(張數),最後賣價,最後賣量(張數),發行股數 ,次日漲停價 ,次日跌停價
"00679B","元大美債20年","25.68","-0.07","25.73","25.81","25.65","49,030,000","1,260,454,280","4,487","25.68","255","25.69","2,280","9,128,692,000","9,999.95","0.01"
"00687B","國泰20年美債","26.67","-0.08","26.70","26.79","26.65","28,613,000","764,018,770","3,270","26.66","389","26.67","179","7,323,733,575","9,999.95","0.01"
"00687C","國泰20年美債+櫃U","9.12","-0.03","9.12","9.12","9.12","50,600","461,472","3","9.11","10","9.13","264","2,872,268","9,999.95","0.01"
"00694B","富邦美債1-3","39.21","+0.05","39.20","39.32","39.20","768,000","30,143,040","149","39.20","41","39.21","7","176,076,000","9,999.95","0.01"
"00695B","富邦美債7-10","33.21","+0.03","33.16","33.29","33.16","877,000","29,138,520","40","33.18","41","33.21","4","34,186,000","9,999.95","0.01"
"00696B","富邦美債20年","27.63","-0.06","27.66","27.74","27.59","12,743,000","352,143,230","264","27.62","10","27.63","69","993,181,000","9,999.95","0.01"
"00697B","元大美債7-10","33.78","+0.02","33.73","33.89","33.70","411,000","13,892,580","67","33.77","40","33.78","10","62,212,000","9,999.95","0.01"
"00719B","元大美債1-3","29.34","+0.01","29.39","29.46","29.31","4,391,000","129,094,410","600","29.33","88","29.34","105","550,514,000","9,999.95","0.01"
"00720B","元大投資級公司債","31.56","-0.07","31.58","31.71","31.53","5,123,000","161,945,560","681","31.55","731","31.56","122","4,075,609,000","9,999.95","0.01"
"00722B","群益投資級電信債","34.77","-0.08","34.72","34.90","34.71","3,976,000","138,205,100","206","34.76","16","34.77","86","1,492,739,000","9,999.95","0.01"
"00723B","群益投資級科技債","30.07","-0.09","30.08","30.08","30.07","140,000","4,210,000","9","30.05","20","30.07","1","1,506,583,000","9,999.95","0.01"
"00724B","群益投資級金融債","32.13","-0.07","32.10","32.25","32.10","4,321,000","138,889,900","103","32.12","6","32.13","42","2,860,275,000","9,999.95","0.01"
"00725B","國泰投資級公司債","33.52","-0.04","33.50","33.65","33.48","7,517,000","252,192,520","837","33.51","22","33.52","215","3,585,206,000","9,999.95","0.01"
"00726B","國泰新興投等債","31.08","-0.03","31.05","31.18","31.04","519,000","16,128,870","71","31.07","2","31.08","4","1,188,989,000","9,999.95","0.01"
"00727B","國泰優選非投等債","37.84","+0.13","37.79","37.91","37.76","107,000","4,048,760","7","37.81","1","37.86","5","88,689,000","9,999.95","0.01"
"00734B","台新JPM新興債","14.69","+0.02","14.78","14.78","14.64","538,000","7,903,280","18","14.66","50","14.67","1","27,979,000","9,999.95","0.01"
"00740B","富邦全球投等債","36.93","-0.05","36.98","37.10","36.91","1,523,000","56,274,530","89","36.93","22","36.94","225","1,661,471,000","9,999.95","0.01"
"00741B","富邦全球非投等債","36.12","+0.04","36.18","36.18","36.09","281,000","10,153,240","76","36.10","1","36.11","2","16,628,000","9,999.95","0.01"
"00746B","富邦A級公司債","33.73","-0.06","33.79","33.85","33.70","446,000","15,039,800","23","33.71","10","33.72","4","2,397,464,000","9,999.95","0.01"
