"114年05月12日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","23,801.64","+","243.47","1.03","",
"發行量加權股價指數","21,129.54","+","214.50","1.03","",
"臺灣公司治理100指數","12,641.68","+","119.53","0.95","",
"臺灣50指數","17,707.61","+","169.07","0.96","",
"臺灣50權重上限30%指數","15,306.82","+","157.04","1.04","",
"臺灣中型100指數","17,996.00","+","198.75","1.12","",
"臺灣資訊科技指數","34,928.24","+","399.33","1.16","",
"臺灣發達指數","9,490.52","+","43.14","0.46","",
"臺灣高股息指數","9,094.57","+","87.21","0.97","",
"臺灣就業99指數","12,534.38","+","120.25","0.97","",
"臺灣高薪100指數","11,374.17","+","104.42","0.93","",
"未含金融指數","18,348.95","+","195.38","1.08","",
"未含電子指數","18,446.43","+","129.16","0.71","",
"未含金融電子指數","13,787.66","+","103.05","0.75","",
"小型股300指數","10,335.41","+","109.63","1.07","",
"水泥窯製類指數","583.75","+","3.24","0.56","",
"塑膠化工類指數","578.59","+","1.80","0.31","",
"機電類指數","6,398.90","+","75.64","1.20","",
"水泥類指數","155.12","+","0.77","0.50","",
"食品類指數","2,123.96","-","16.80","-0.78","",
"塑膠類指數","107.56","+","0.95","0.89","",
"紡織纖維類指數","562.81","+","7.75","1.40","",
"電機機械類指數","363.02","+","8.06","2.27","",
"電器電纜類指數","83.28","+","1.51","1.85","",
"化學生技醫療類指數","124.84","+","0.17","0.14","",
"化學類指數","153.69","+","0.95","0.62","",
"生技醫療類指數","68.42","-","0.10","-0.15","",
"玻璃陶瓷類指數","42.98","+","0.44","1.03","",
"造紙類指數","266.40","+","2.89","1.10","",
"鋼鐵類指數","124.67","+","1.05","0.85","",
"橡膠類指數","264.46","-","1.28","-0.48","",
"汽車類指數","362.72","+","0.85","0.23","",
"電子工業類指數","1,148.86","+","13.27","1.17","",
"半導體類指數","586.89","+","5.71","0.98","",
"電腦及週邊設備類指數","250.88","+","3.48","1.41","",
"光電類指數","35.05","+","0.66","1.92","",
"通信網路類指數","164.15","+","0.71","0.43","",
"電子零組件類指數","212.34","+","2.44","1.16","",
"電子通路類指數","241.81","+","2.09","0.87","",
"資訊服務類指數","223.79","+","2.68","1.21","",
"其他電子類指數","145.78","+","4.30","3.04","",
"建材營造類指數","521.58","+","0.23","0.04","",
"航運類指數","198.75","+","1.99","1.01","",
"觀光餐旅類指數","116.71","-","0.54","-0.46","",
"金融保險類指數","2,027.96","+","12.51","0.62","",
"貿易百貨類指數","264.88","+","0.58","0.22","",
"油電燃氣類指數","60.12","+","1.24","2.11","",
"綠能環保類指數","102.92","+","1.53","1.51","",
"數位雲端類指數","55.25","-","0.47","-0.84","",
"運動休閒類指數","83.68","+","1.73","2.11","",
"居家生活類指數","111.15","+","0.45","0.41","",
"其他類指數","298.94","+","1.47","0.49","",
"臺指日報酬兩倍指數","50,647.07","+","1,017.97","2.05","",
"臺指反向一倍指數","2,937.99","-","30.44","-1.03","",
"電子類兩倍槓桿指數","62,917.68","+","1,436.88","2.34","",
"電子類反向指數","2,170.63","-","25.66","-1.17","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技指數","3,435.00","-","2.84","-0.08","",
"臺灣中小型公司治理指數","9,422.90","+","128.84","1.39","",
"臺灣IPO指數","5,258.87","+","109.49","2.13","",
"智慧中立指數","3,831.20","-","3.40","-0.09","",
"臺灣5G指數","10,746.88","+","90.99","0.85","",
"臺灣企業社會責任中小型指數","10,734.09","+","129.21","1.22","",
"特選臺灣電動車代表指數","9,205.88","+","104.27","1.15","",
"臺灣科技龍頭通訊指數","9,376.88","+","98.70","1.06","",
"臺灣全市場指數","7,298.55","+","75.92","1.05","",
"臺灣全市場半導體指數","7,127.66","+","93.91","1.34","",
"臺灣智慧移動與電動車指數","5,345.06","+","59.77","1.13","",
"特選小資高價30指數","7,341.83","+","67.48","0.93","",
"特選臺灣綠能及電動車指數","5,611.33","+","59.38","1.07","",
"特選臺灣智能車供應鏈聯盟指數","6,671.02","+","71.96","1.09","",
"臺灣全市場半導體精選30指數","5,594.25","+","77.02","1.40","",
"特選臺灣高股息30指數","4,758.31","+","43.47","0.92","",
"臺灣友善環境指數","6,525.65","+","59.45","0.92","",
"台灣永續價值指數","5,938.77","+","67.73","1.15","",
"特選臺灣IC設計指數","4,147.71","+","83.52","2.06","",
"特選臺灣環境永續高股息指數","6,650.33","+","105.79","1.62","",
"臺灣友善環境50指數","5,434.17","+","50.18","0.93","",
"特選臺灣IC設計產業代表指數","5,293.22","+","46.30","0.88","",
"特選臺灣綠能指數","4,824.69","+","35.35","0.74","",
"特選臺灣智慧50指數","5,017.24","+","43.85","0.88","",
"臺灣晶圓製造指數","5,645.87","+","71.78","1.29","",
"臺灣精選高息指數","5,312.35","+","59.44","1.13","",
"臺灣多因子優選高股息30指數","8,182.71","+","76.95","0.95","",
"特選臺灣優利高填息30指數","7,161.87","+","76.60","1.08","",
"特選臺灣科技優息指數","8,363.88","+","100.87","1.22","",
"臺灣半導體收益指數","6,298.25","+","100.96","1.63","",
"臺灣優選成長高股息指數","7,087.24","+","85.62","1.22","",
"特選臺灣ESG低碳高息40指數","7,800.77","+","64.12","0.83","",
"臺灣優選多因子30指數","8,229.95","+","66.93","0.82","",
"臺灣創新科技50指數","7,009.08","+","67.02","0.97","",
"臺灣全市場新經濟產業指數","4,353.22","+","43.37","1.01","",
"臺灣ESG永續高股息等權重指數","5,684.34","+","51.01","0.91","",
"臺灣永續高息中小型指數","5,248.13","+","60.62","1.17","",
"特選臺灣高息優質成長指數","5,713.07","+","54.28","0.96","",
"特選臺灣高息動能指數","6,435.13","+","30.85","0.48","",
"臺灣電子成長高息等權重指數","5,448.98","+","76.39","1.42","",
"特選臺灣優利成長指數","4,716.80","+","41.68","0.89","",
"臺灣價值高息指數","5,298.34","+","49.67","0.95","",
