上櫃股票每日收盤行情(不含定價)
產業類別:所有證券(不含權證、牛熊證)
資料日期:114/08/07
代號,名稱,收盤 ,漲跌,開盤 ,最高 ,最低,成交股數  , 成交金額(元), 成交筆數 ,最後買價,最後買量(張數),最後賣價,最後賣量(張數),發行股數 ,次日漲停價 ,次日跌停價
"00679B","元大美債20年","25.90","-0.24","26.04","26.05","25.86","60,707,000","1,574,486,930","7,346","25.90","899","25.91","1","9,104,192,000","9,999.95","0.01"
"00687B","國泰20年美債","26.92","-0.24","27.07","27.07","26.86","45,546,000","1,226,880,700","5,522","26.91","142","26.92","1,406","7,266,233,575","9,999.95","0.01"
"00687C","國泰20年美債+櫃U","9.24","-0.04","9.23","9.24","9.23","45,200","417,628","8","9.23","219","9.25","293","2,872,268","9,999.95","0.01"
"00694B","富邦美債1-3","39.15","-0.18","39.33","39.33","39.10","675,000","26,460,660","70","39.14","17","39.15","39","174,076,000","9,999.95","0.01"
"00695B","富邦美債7-10","33.40","-0.17","33.57","33.57","33.36","418,000","13,974,070","25","33.40","6","33.41","4","34,186,000","9,999.95","0.01"
"00696B","富邦美債20年","27.86","-0.25","28.02","28.02","27.81","8,504,000","236,988,120","271","27.85","82","27.86","23","971,681,000","9,999.95","0.01"
"00697B","元大美債7-10","34.03","-0.13","34.18","34.18","33.97","714,000","24,316,220","143","34.02","1","34.03","50","62,212,000","9,999.95","0.01"
"00719B","元大美債1-3","29.33","-0.14","29.47","29.47","29.26","5,191,000","152,339,880","719","29.32","105","29.33","18","529,014,000","9,999.95","0.01"
"00720B","元大投資級公司債","31.76","-0.19","31.95","31.95","31.72","6,511,000","207,177,420","949","31.76","83","31.77","400","4,070,109,000","9,999.95","0.01"
"00722B","群益投資級電信債","34.99","-0.23","35.19","35.19","34.94","3,313,000","115,945,140","218","34.99","1","35.00","40","1,492,739,000","9,999.95","0.01"
"00723B","群益投資級科技債","30.24","-0.20","30.28","30.28","30.24","102,000","3,084,530","6","30.22","20","30.26","55","1,506,583,000","9,999.95","0.01"
"00724B","群益投資級金融債","32.29","-0.17","32.43","32.43","32.24","3,936,000","126,985,060","101","32.28","10","32.29","15","2,858,775,000","9,999.95","0.01"
"00725B","國泰投資級公司債","33.64","-0.20","33.84","33.84","33.60","11,038,000","371,868,410","1,163","33.63","116","33.64","33","3,572,706,000","9,999.95","0.01"
"00726B","國泰新興投等債","31.17","-0.13","31.17","31.30","31.16","363,000","11,326,350","101","31.17","39","31.19","3","1,188,989,000","9,999.95","0.01"
"00727B","國泰優選非投等債","37.69","-0.15","37.77","37.81","37.65","131,000","4,936,630","11","37.70","1","37.73","5","88,689,000","9,999.95","0.01"
"00734B","台新JPM新興債","14.72","-0.06","14.69","14.72","14.69","501,000","7,374,690","7","14.68","50","14.70","5","27,979,000","9,999.95","0.01"
"00740B","富邦全球投等債","37.10","-0.21","37.31","37.31","37.05","3,371,000","125,063,710","157","37.09","23","37.10","172","1,662,471,000","9,999.95","0.01"
