上櫃股票每日收盤行情(不含定價)
產業類別:所有證券(不含權證、牛熊證)
資料日期:114/08/27
代號,名稱,收盤 ,漲跌,開盤 ,最高 ,最低,成交股數  , 成交金額(元), 成交筆數 ,最後買價,最後買量(張數),最後賣價,最後賣量(張數),發行股數 ,次日漲停價 ,次日跌停價
"00785B","富邦金融投等債","34.11","+0.16","34.14","34.14","34.11","101,000","3,448,110","5","34.08","25","34.12","1","1,052,966,000","9,999.95","0.01"
"00786B","元大10年IG銀行債","31.64","+0.08","31.67","31.70","31.55","75,000","2,373,240","19","31.64","18","31.65","1","33,566,000","9,999.95","0.01"
"00787B","元大10年IG醫療債","31.74","+0.08","31.73","31.74","31.68","14,000","444,210","5","31.70","1","31.72","1","16,306,000","9,999.95","0.01"
"00788B","元大10年IG電能債","29.12","+0.06","29.14","29.14","29.10","21,000","611,530","9","29.13","27","29.16","1","36,706,000","9,999.95","0.01"
"00789B","復華公司債A3","47.69","+0.16","47.68","47.69","47.68","106,000","5,055,110","6","47.63","27","47.67","1","438,100,000","9,999.95","0.01"
"00791B","復華信用債1-5","54.70","+0.10","54.70","54.70","54.70","110,000","6,017,000","3","54.55","23","54.70","1","262,100,000","9,999.95","0.01"
"00792B","群益A級公司債","31.17","+0.12","31.19","31.20","31.16","104,000","3,242,720","8","31.14","20","31.21","60","1,969,615,000","9,999.95","0.01"
"00793B","群益AAA-A醫療債","30.23","+0.11","30.23","30.23","30.22","120,000","3,627,100","5","30.17","20","30.22","1","4,526,000","9,999.95","0.01"
"00795B","中信美國公債20年","26.14","+0.13","26.13","26.17","26.13","12,164,000","318,023,450","660","26.13","680","26.14","138","2,070,598,000","9,999.95","0.01"
"00799B","國泰A級醫療債","29.30","+0.11","29.28","29.30","29.23","140,000","4,097,190","13","29.25","3","29.28","13","13,036,000","9,999.95","0.01"
"00834B","第一金金融債10+","33.23","+0.13","33.23","33.23","33.23","100,000","3,323,000","2","33.18","10","33.20","1","21,698,000","9,999.95","0.01"
"00836B","永豐10年A公司債","28.39","+0.13","28.39","28.39","28.39","150,000","4,258,500","12","28.33","153","28.36","1","491,541,000","9,999.95","0.01"
"00840B","凱基IG精選15+","29.47","+0.11","29.47","29.47","29.47","100,000","2,947,000","2","29.37","10","29.43","1","59,431,000","9,999.95","0.01"
