上櫃股票每日收盤行情(不含定價)
產業類別:所有證券(不含權證、牛熊證)
資料日期:114/05/08
代號,名稱,收盤 ,漲跌,開盤 ,最高 ,最低,成交股數  , 成交金額(元), 成交筆數 ,最後買價,最後買量(張數),最後賣價,最後賣量(張數),發行股數 ,次日漲停價 ,次日跌停價
"00679B","元大美債20年","26.34","+0.03","26.42","26.45","26.30","45,533,000","1,200,629,780","5,181","26.34","57","26.35","112","8,970,192,000","9,999.95","0.01"
"00687B","國泰20年美債","27.31","+0.04","27.39","27.41","27.28","40,640,000","1,111,150,470","4,104","27.31","247","27.32","420","7,172,150,055","9,999.95","0.01"
"00687C","國泰20年美債+櫃U","9.16","+0.02","9.15","9.16","9.15","50,500","462,575","5","9.15","1","9.16","53","213,687","9,999.95","0.01"
"00694B","富邦美債1-3","39.55","+0.03","39.52","39.63","39.51","152,000","6,011,650","58","39.55","1","39.58","1","174,576,000","9,999.95","0.01"
"00695B","富邦美債7-10","33.60","+0.10","33.59","33.69","33.57","234,000","7,863,310","38","33.60","5","33.61","4","40,686,000","9,999.95","0.01"
"00696B","富邦美債20年","28.25","+0.04","28.29","28.35","28.21","4,285,000","121,111,180","217","28.23","294","28.25","36","919,681,000","9,999.95","0.01"
"00697B","元大美債7-10","34.20","+0.02","34.26","34.33","34.17","264,000","9,038,120","104","34.19","140","34.20","1","59,712,000","9,999.95","0.01"
"00718B","富邦中國政策債","19.79","+0.01","19.84","19.85","19.79","122,000","2,416,410","9","19.79","1","19.81","5","6,001,000","9,999.95","0.01"
"00719B","元大美債1-3","29.75","+0.03","29.77","29.82","29.73","1,781,000","53,010,230","409","29.74","296","29.76","22","470,514,000","9,999.95","0.01"
"00720B","元大投資級公司債","31.15","+0.05","31.20","31.26","31.12","10,278,000","320,348,250","1,287","31.14","260","31.15","11","4,110,609,000","9,999.95","0.01"
"00722B","群益投資級電信債","34.49","+0.11","34.44","34.61","34.44","2,376,000","82,015,320","243","34.48","7","34.49","11","1,491,239,000","9,999.95","0.01"
"00723B","群益投資級科技債","29.91","+0.08","29.96","29.96","29.89","162,000","4,845,620","15","29.86","60","29.92","1","1,505,083,000","9,999.95","0.01"
"00724B","群益投資級金融債","31.58","+0.15","31.70","31.70","31.56","8,226,000","259,780,960","162","31.57","2","31.58","101","2,845,275,000","9,999.95","0.01"
"00725B","國泰投資級公司債","33.06","+0.07","33.10","33.18","33.02","12,229,000","404,505,350","1,173","33.05","23","33.06","113","3,515,706,000","9,999.95","0.01"
"00726B","國泰新興投等債","30.84","+0.10","30.80","30.90","30.80","260,000","8,020,110","41","30.84","3","30.85","2","1,169,489,000","9,999.95","0.01"
