上櫃股票每日收盤行情(不含定價)
產業類別:所有證券(不含權證、牛熊證)
資料日期:115/01/22
代號,名稱,收盤 ,漲跌,開盤 ,最高 ,最低,成交股數  , 成交金額(元), 成交筆數 ,最後買價,最後買量(張數),最後賣價,最後賣量(張數),發行股數 ,次日漲停價 ,次日跌停價
"00679B","元大美債20年","27.30","+0.14","27.29","27.31","27.21","58,989,000","1,609,002,580","3,975","27.30","595","27.31","1,493","8,539,692,000","9,999.95","0.01"
"00687B","國泰20年美債","28.39","+0.16","28.36","28.40","28.30","36,925,000","1,047,207,890","3,328","28.38","1,056","28.39","93","6,563,634,927","9,999.95","0.01"
"00687C","國泰20年美債+櫃U","9.38","+0.06","9.38","9.38","9.38","25,000","234,500","2","9.37","100","9.38","102","2,012,268","9,999.95","0.01"
"00694B","富邦美債1-3","41.72","+0.01","41.70","41.72","41.64","426,000","17,758,550","32","41.71","9","41.72","47","180,576,000","9,999.95","0.01"
"00695B","富邦美債7-10","35.51","+0.09","35.44","35.51","35.44","602,000","21,363,120","43","35.49","40","35.51","3","40,686,000","9,999.95","0.01"
"00696B","富邦美債20年","29.45","+0.17","29.40","29.45","29.36","4,226,000","124,329,270","177","29.45","214","29.46","53","845,681,000","9,999.95","0.01"
"00697B","元大美債7-10","36.00","+0.04","35.96","36.02","35.95","564,000","20,300,300","114","36.00","51","36.01","2","68,212,000","9,999.95","0.01"
"00719B","元大美債1-3","31.12","除息","31.19","31.19","31.04","2,747,000","85,376,630","549","31.11","6","31.12","24","525,014,000","9,999.95","0.01"
"00720B","元大投資級公司債","33.63","除息","33.62","33.65","33.54","17,023,000","571,832,330","1,250","33.63","93","33.64","23","4,339,609,000","9,999.95","0.01"
"00722B","群益投資級電信債","36.78","+0.32","36.72","36.78","36.68","922,000","33,861,440","165","36.77","2","36.78","19","1,491,739,000","9,999.95","0.01"
"00723B","群益投資級科技債","31.46","+0.23","31.44","31.48","31.43","240,000","7,549,250","13","31.47","56","31.48","1","1,516,583,000","9,999.95","0.01"
"00724B","群益投資級金融債","34.59","+0.20","34.53","34.60","34.50","3,781,000","130,642,400","95","34.58","51","34.60","22","2,989,275,000","9,999.95","0.01"
"00725B","國泰投資級公司債","35.70","+0.36","35.56","35.70","35.56","14,607,000","520,342,740","1,190","35.69","43","35.70","126","3,805,206,000","9,999.95","0.01"
"00726B","國泰新興投等債","33.87","+0.09","33.84","33.89","33.81","592,000","20,040,290","95","33.86","1","33.87","59","1,181,989,000","9,999.95","0.01"
"00727B","國泰優選非投等債","40.00","0.00","39.97","40.08","39.97","134,000","5,365,870","8","39.98","67","40.02","61","55,189,000","9,999.95","0.01"
"00734B","台新JPM新興債","15.86","+0.06","15.80","15.86","15.80","16,000","253,640","2","15.85","1","15.86","26","27,479,000","9,999.95","0.01"
"00740B","富邦全球投等債","39.48","+0.30","39.37","39.51","39.37","4,609,000","181,785,680","130","39.47","70","39.48","12","1,773,971,000","9,999.95","0.01"
"00741B","富邦全球非投等債","37.89","+0.06","37.91","37.94","37.83","169,000","6,401,640","20","37.84","59","37.89","1","15,628,000","9,999.95","0.01"
"00746B","富邦A級公司債","36.21","+0.27","36.16","36.21","36.12","1,479,000","53,495,510","44","36.20","1","36.21","9","2,381,464,000","9,999.95","0.01"
"00749B","凱基新興債10+","31.84","+0.10","31.83","31.84","31.83","102,000","3,247,660","5","31.84","10","31.88","1","1,168,500,000","9,999.95","0.01"
"00750B","凱基科技債10+","33.71","+0.20","33.71","33.71","33.71","100,000","3,371,000","4","33.69","12","33.79","1","147,500,000","9,999.95","0.01"
"00751B","元大AAA至A公司債","32.50","+0.30","32.43","32.51","32.40","10,819,000","351,053,660","1,185","32.50","16","32.51","59","4,813,103,000","9,999.95","0.01"
"00754B","群益AAA-AA公司債","34.65","+0.29","34.36","34.65","34.36","164,000","5,678,570","15","34.57","20","34.65","1","1,057,900,000","9,999.95","0.01"
"00755B","群益投資級公用債","33.72","+0.27","33.66","33.72","33.62","180,000","6,062,380","25","33.73","1","33.76","1","213,230,000","9,999.95","0.01"
"00756B","群益投等新興公債","32.18","+0.22","32.14","32.18","32.11","189,000","6,078,060","37","32.12","20","32.18","12","1,393,800,000","9,999.95","0.01"
"00758B","復華能源債","52.20","+0.40","52.20","52.20","52.20","100,000","5,220,000","2","52.10","25","52.30","10","5,525,000","9,999.95","0.01"
"00759B","復華製藥債","55.70","+0.35","55.70","55.70","55.70","100,000","5,570,000","4","55.60","35","55.70","1","47,525,000","9,999.95","0.01"
"00760B","復華新興企業債","55.50","+0.20","55.45","55.50","55.45","103,000","5,716,350","3","55.45","5","55.55","1","458,020,000","9,999.95","0.01"
"00761B","國泰A級公司債","35.48","+0.30","35.42","35.48","35.36","1,519,000","53,778,070","133","35.45","104","35.49","5","2,739,089,000","9,999.95","0.01"
"00764B","群益25年美債","28.39","+0.17","28.35","28.39","28.30","6,085,000","172,544,700","163","28.39","149","28.40","17","1,379,500,000","9,999.95","0.01"
"00768B","復華20年美債","51.90","+0.35","51.85","51.90","51.75","1,834,000","95,116,250","61","51.90","24","51.95","23","688,100,000","9,999.95","0.01"
"00772B","中信高評級公司債","34.50","+0.30","34.42","34.50","34.36","5,868,000","201,988,960","650","34.49","4","34.50","16","3,518,790,000","9,999.95","0.01"
"00773B","中信優先金融債","36.82","+0.22","36.73","36.86","36.73","2,610,000","96,019,610","159","36.82","77","36.86","105","2,604,790,000","9,999.95","0.01"
"00777B","凱基AAA至A公司債","33.47","+0.28","33.42","33.47","33.39","103,000","3,439,350","7","33.36","20","33.47","1","1,862,150,000","9,999.95","0.01"
"00778B","凱基金融債20+","35.55","+0.32","35.50","35.55","35.47","115,000","4,080,060","12","35.45","10","35.55","1","1,527,650,000","9,999.95","0.01"
"00779B","凱基美債25+","28.72","+0.15","28.74","28.74","28.67","362,000","10,382,710","15","28.72","44","28.73","1","1,163,650,000","9,999.95","0.01"
"00780B","國泰A級金融債","38.18","+0.11","38.11","38.18","38.11","335,000","12,781,120","24","38.14","57","38.19","3","253,602,000","9,999.95","0.01"
"00781B","國泰A級科技債","29.55","+0.18","29.37","29.55","29.37","106,000","3,131,910","8","29.54","3","29.57","127","8,336,000","9,999.95","0.01"
"00782B","國泰A級公用債","31.16","+0.17","31.08","31.16","31.08","202,000","6,287,050","9","31.15","20","31.16","1","17,967,000","9,999.95","0.01"
"00785B","富邦金融投等債","35.71","+0.20","35.68","35.71","35.68","111,000","3,960,780","6","35.72","1","35.74","1","1,016,966,000","9,999.95","0.01"
"00786B","元大10年IG銀行債","33.62","+0.16","33.37","33.66","33.37","58,000","1,947,330","16","33.58","37","33.60","1","27,566,000","9,999.95","0.01"
"00787B","元大10年IG醫療債","33.05","+0.15","33.12","33.16","33.05","33,000","1,092,680","14","33.05","55","33.08","1","14,806,000","9,999.95","0.01"
"00788B","元大10年IG電能債","30.50","除息","30.50","30.50","30.45","14,000","426,700","7","30.45","25","30.50","11","32,206,000","9,999.95","0.01"
"00789B","復華公司債A3","49.50","+0.50","49.42","49.50","49.41","182,000","8,996,530","19","49.46","11","49.51","5","416,100,000","9,999.95","0.01"
"00791B","復華信用債1-5","56.90","0.00","56.90","56.90","56.90","100,000","5,690,000","2","56.75","10","56.90","1","261,600,000","9,999.95","0.01"
"00792B","群益A級公司債","32.55","+0.27","32.49","32.55","32.47","123,000","3,999,000","9","32.47","10","32.55","1","2,052,615,000","9,999.95","0.01"
"00793B","群益AAA-A醫療債","31.41","+0.22","31.41","31.41","31.41","100,000","3,141,000","4","31.40","10","31.46","1","4,526,000","9,999.95","0.01"
"00795B","中信美國公債20年","27.52","+0.16","27.48","27.53","27.44","11,948,000","328,345,170","830","27.52","124","27.53","30","2,090,098,000","9,999.95","0.01"
"00799B","國泰A級醫療債","30.63","+0.17","30.65","30.65","30.59","252,000","7,716,310","56","30.62","12","30.63","2","22,536,000","9,999.95","0.01"
"00834B","第一金金融債10+","34.87","除息","34.81","34.87","34.81","103,000","3,591,430","3","34.84","20","34.86","1","23,198,000","9,999.95","0.01"
"00836B","永豐10年A公司債","29.53","+0.26","29.48","29.53","29.44","260,000","7,664,020","25","29.46","35","29.53","4","481,541,000","9,999.95","0.01"
"00840B","凱基IG精選15+","30.69","+0.16","30.69","30.69","30.69","100,000","3,069,000","2","30.68","11","30.73","1","59,431,000","9,999.95","0.01"
"00841B","凱基AAA-AA公司債","29.97","+0.19","29.97","29.97","29.97","100,000","2,997,000","2","29.96","11","30.00","1","70,440,000","9,999.95","0.01"
"00842B","台新美元銀行債","31.61","+0.05","31.62","31.62","31.59","55,000","1,738,510","21","31.64","1","31.66","20","11,767,000","9,999.95","0.01"
"00844B","新光15年IG金融債","32.55","+0.12","32.43","32.56","32.43","103,000","3,352,730","5","32.52","21","32.53","1","292,675,000","9,999.95","0.01"
"00845B","富邦新興投等債","34.17","+0.06","34.05","34.17","34.05","111,000","3,791,750","4","34.15","20","34.22","1","250,551,000","9,999.95","0.01"
"00846B","富邦歐洲銀行債","36.77","+0.03","36.64","36.81","36.64","107,000","3,934,300","6","36.78","1","36.81","10","74,350,000","9,999.95","0.01"
