"109年09月09日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","14,453.19","-","57.28","-0.39","",
"發行量加權股價指數","12,608.58","-","54.98","-0.43","",
"臺灣公司治理100指數","7,344.01","-","52.80","-0.71","",
"臺灣50指數","10,015.50","-","68.13","-0.68","",
"臺灣50權重上限30%指數","9,502.25","-","58.99","-0.62","",
"臺灣中型100指數","9,445.43","-","3.10","-0.03","",
"臺灣資訊科技指數","16,674.44","-","137.29","-0.82","",
"臺灣發達指數","8,090.80","-","15.23","-0.19","",
"臺灣高股息指數","6,591.81","-","5.27","-0.08","",
"臺灣就業99指數","6,893.07","+","17.93","0.26","",
"臺灣高薪100指數","6,359.92","-","20.53","-0.32","",
"未含金融指數","10,925.85","-","48.19","-0.44","",
"未含電子指數","14,312.06","-","33.73","-0.24","",
"未含金融電子指數","12,071.87","-","19.86","-0.16","",
"小型股300指數","7,089.87","+","19.82","0.28","",
"水泥窯製類指數","606.55","-","0.26","-0.04","",
"塑膠化工類指數","766.78","-","1.79","-0.23","",
"機電類指數","3,337.77","-","18.01","-0.54","",
"水泥類指數","167.77","-","0.02","-0.01","",
"食品類指數","1,677.61","-","12.88","-0.76","",
"塑膠類指數","218.58","-","0.90","-0.41","",
"紡織纖維類指數","510.33","+","2.22","0.44","",
"電機機械類指數","206.29","+","0.51","0.25","",
"電器電纜類指數","55.80","-","0.14","-0.25","",
"化學生技醫療類指數","107.42","-","0.62","-0.57","",
"化學類指數","110.10","+","0.32","0.29","",
"生技醫療類指數","72.12","-","1.01","-1.38","",
"玻璃陶瓷類指數","33.77","-","0.12","-0.35","",
"造紙類指數","271.01","+","1.13","0.42","",
"鋼鐵類指數","96.82","+","1.15","1.20","",
"橡膠類指數","265.70","+","3.68","1.40","",
"汽車類指數","318.43","-","2.57","-0.80","",
"電子工業類指數","597.07","-","3.34","-0.56","",
"半導體類指數","279.41","-","2.33","-0.83","",
"電腦及週邊設備類指數","114.29","-","1.21","-1.05","",
"光電類指數","39.04","+","0.24","0.62","",
"通信網路類指數","122.89","-","0.26","-0.21","",
"電子零組件類指數","127.57","+","0.23","0.18","",
"電子通路類指數","124.61","+","0.34","0.27","",
"資訊服務類指數","124.54","-","0.63","-0.50","",
"其他電子類指數","77.74","+","0.03","0.04","",
"建材營造類指數","329.33","+","0.12","0.04","",
"航運類指數","68.14","+","0.34","0.50","",
"觀光類指數","87.38","+","0.51","0.59","",
"金融保險類指數","1,226.78","-","4.88","-0.40","",
"貿易百貨類指數","257.48","-","2.52","-0.97","",
"油電燃氣類指數","106.65","-","1.27","-1.18","",
"其他類指數","290.64","+","0.20","0.07","",
"臺指日報酬兩倍指數","21,379.93","-","187.27","-0.87","",
"臺指反向一倍指數","5,835.52","+","25.23","0.43","",
"電子類兩倍槓桿指數","21,688.51","-","244.02","-1.11","",
"電子類反向指數","5,322.34","+","29.44","0.56","",
"價格指數(跨市場)"
