"109年07月29日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","14,335.35","-","32.86","-0.23","",
"發行量加權股價指數","12,540.97","-","45.76","-0.36","",
"臺灣公司治理100指數","7,398.13","-","69.42","-0.93","",
"臺灣50指數","10,123.70","-","126.39","-1.23","",
"臺灣50權重上限30%指數","9,654.39","-","80.74","-0.83","",
"臺灣中型100指數","9,310.28","+","88.13","0.96","",
"臺灣資訊科技指數","16,750.44","-","343.03","-2.01","",
"臺灣發達指數","8,112.16","+","22.60","0.28","",
"臺灣高股息指數","6,638.61","+","37.32","0.57","",
"臺灣就業99指數","6,772.38","+","32.61","0.48","",
"臺灣高薪100指數","6,369.70","+","6.36","0.10","",
"未含金融指數","10,816.06","-","59.23","-0.54","",
"未含電子指數","13,987.75","+","118.49","0.85","",
"未含金融電子指數","11,518.50","+","91.12","0.80","",
"小型股300指數","6,651.02","+","97.31","1.48","",
"水泥窯製類指數","579.93","+","4.38","0.76","",
"塑膠化工類指數","727.23","+","5.19","0.72","",
"機電類指數","3,345.14","-","34.31","-1.02","",
"水泥類指數","163.01","+","1.26","0.78","",
"食品類指數","1,743.71","+","11.88","0.69","",
"塑膠類指數","211.14","+","0.51","0.24","",
"紡織纖維類指數","477.36","+","6.14","1.30","",
"電機機械類指數","187.09","+","3.36","1.83","",
"電器電纜類指數","47.06","+","0.35","0.75","",
"化學生技醫療類指數","101.66","+","1.93","1.94","",
"化學類指數","105.29","+","2.13","2.06","",
"生技醫療類指數","67.55","+","1.20","1.81","",
"玻璃陶瓷類指數","27.38","+","0.15","0.55","",
"造紙類指數","224.77","+","3.04","1.37","",
"鋼鐵類指數","87.44","+","0.51","0.59","",
"橡膠類指數","228.65","+","2.14","0.94","",
"汽車類指數","329.87","+","2.04","0.62","",
"電子工業類指數","600.26","-","6.56","-1.08","",
"半導體類指數","282.62","-","5.74","-1.99","",
"電腦及週邊設備類指數","112.65","+","0.57","0.51","",
"光電類指數","38.18","+","0.19","0.50","",
"通信網路類指數","122.67","+","0.48","0.39","",
"電子零組件類指數","127.75","+","1.10","0.87","",
"電子通路類指數","126.89","+","0.10","0.08","",
"資訊服務類指數","122.89","-","0.99","-0.80","",
"其他電子類指數","78.45","-","0.30","-0.38","",
"建材營造類指數","303.53","+","4.15","1.39","",
"航運類指數","57.14","+","0.71","1.26","",
"觀光類指數","86.23","+","2.32","2.76","",
"金融保險類指數","1,263.75","+","12.19","0.97","",
"貿易百貨類指數","260.34","+","0.32","0.12","",
"油電燃氣類指數","107.43","-","0.08","-0.07","",
"其他類指數","276.64","+","2.43","0.89","",
"臺指日報酬兩倍指數","21,221.15","-","155.43","-0.73","",
"臺指反向一倍指數","5,886.11","+","21.32","0.36","",
"電子類兩倍槓桿指數","22,029.66","-","486.83","-2.16","",
"電子類反向指數","5,319.95","+","56.90","1.08","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技指數","4,587.16","+","87.08","1.94","",
"臺灣中小型公司治理指數","6,327.77","+","28.25","0.45","",
"臺灣IPO指數","5,779.69","+","56.16","0.98","",
"智慧中立指數","4,589.44","+","7.24","0.16","",
"臺灣企業社會責任中小型指數","5,022.37","+","57.64","1.16","",
"價格指數(臺灣指數公司)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"金融類日報酬兩倍指數","18,794.01","+","359.11","1.95","",
"金融類日報酬反向一倍指數","6,433.58","-","63.28","-0.97","",
"漲升股利150指數","6,464.52","-","5.78","-0.09","",
"漲升股利100指數","6,365.88","-","9.96","-0.16","",
"藍籌30指數","6,603.63","-","26.58","-0.40","",
"工業菁英30指數","7,193.08","-","31.06","-0.43","",
"電子菁英30指數","7,255.77","-","15.11","-0.21","",
"低波動股利精選30指數","5,757.44","+","35.42","0.62","",
"低貝塔100指數","5,813.47","+","27.88","0.48","",
"藍籌30反向一倍指數","6,924.85","+","27.65","0.40","",
"中小型精選50指數","5,961.65","+","51.59","0.87","",
"中小型A級動能50指數","8,869.15","+","105.85","1.21","",
"特選高息低波指數","5,283.72","+","38.41","0.73","",
"臺灣永續指數","6,370.04","-","48.61","-0.76","",
"工業菁英30反向一倍指數","7,281.63","+","31.17","0.43","",
"特選內需高收益指數","5,582.51","+","22.74","0.41","",
"價值投資指數","6,185.03","+","57.60","0.94","",
"中小型300指數","6,322.90","+","66.13","1.06","",
"臺灣勞工權益指數","5,698.91","-","14.90","-0.26","",
"智慧投資多因子30指數","5,035.50","-","2.79","-0.06","",
"臺股期貨指數","5,664.27","-","15.50","-0.27","",
"臺灣上櫃企業社會責任指數","5,158.12","+","14.37","0.28","",
"報酬指數(臺灣證券交易所)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價報酬指數","18,453.64","-","39.70","-0.21","",
"發行量加權股價報酬指數","23,962.29","-","83.99","-0.35","",
"臺灣公司治理100報酬指數","9,325.10","-","86.18","-0.92","",
"臺灣50報酬指數","--","","--","--","",
"臺灣50權重上限30%報酬指數","--","","--","--","",
"臺灣中型100報酬指數","--","","--","--","",
"臺灣資訊科技報酬指數","--","","--","--","",
"臺灣發達報酬指數","--","","--","--","",
"臺灣高股息報酬指數","--","","--","--","",
"臺灣就業99報酬指數","9,598.25","+","48.14","0.50","",
"臺灣高薪100報酬指數","8,240.03","+","8.22","0.10","",
"未含金融電子報酬指數","22,278.22","+","187.60","0.85","",
"小型股300報酬指數","8,040.33","+","120.08","1.52","",
"水泥類報酬指數","280.40","+","2.17","0.78","",
"食品類報酬指數","2,456.76","+","16.74","0.69","",
"塑膠類報酬指數","347.40","+","0.83","0.24","",
"紡織纖維類報酬指數","723.97","+","9.38","1.31","",
"電機機械類報酬指數","267.31","+","4.89","1.86","",
"電器電纜類報酬指數","66.42","+","0.49","0.74","",
"化學生技醫療類報酬指數","148.68","+","2.82","1.93","",
"化學類報酬指數","162.92","+","3.29","2.06","",
"生技醫療類報酬指數","90.33","+","1.60","1.80","",
"玻璃陶瓷類報酬指數","31.45","+","0.17","0.54","",
"造紙類報酬指數","322.75","+","4.36","1.37","",
"鋼鐵類報酬指數","133.98","+","0.78","0.59","",
"橡膠類報酬指數","340.61","+","3.19","0.95","",
"汽車類報酬指數","487.38","+","3.00","0.62","",
"電子工業類報酬指數","1,047.98","-","11.44","-1.08","",
"半導體類報酬指數","468.24","-","9.52","-1.99","",
"電腦及週邊設備類報酬指數","216.73","+","1.10","0.51","",
"光電類報酬指數","51.69","+","0.26","0.51","",
"通信網路類報酬指數","239.88","+","0.99","0.41","",
"電子零組件類報酬指數","221.86","+","1.91","0.87","",
"電子通路類報酬指數","261.84","+","0.22","0.08","",
"資訊服務類報酬指數","253.66","-","2.03","-0.79","",
"其他電子類報酬指數","115.81","-","0.44","-0.38","",
"建材營造類報酬指數","536.46","+","7.33","1.39","",
"航運類報酬指數","79.27","+","0.99","1.26","",
"觀光類報酬指數","113.45","+","3.06","2.77","",
"金融保險類報酬指數","1,980.55","+","19.12","0.97","",
"貿易百貨類報酬指數","376.26","+","0.47","0.13","",
"油電燃氣類報酬指數","161.69","-","0.01","-0.01","",
"其他類報酬指數","436.31","+","5.24","1.22","",
"報酬指數(跨市場)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技報酬指數","4,866.36","+","92.38","1.94","",
"臺灣中小型公司治理報酬指數","7,511.07","+","33.53","0.45","",
"臺灣IPO報酬指數","6,257.48","+","60.80","0.98","",
"智慧中立報酬指數","4,737.26","+","7.39","0.16","",
"加權指數掩護性臺指買權價外5%報酬指數","5,274.62","-","7.66","-0.15","",
"臺灣5G報酬指數","6,572.36","-","3.69","-0.06","",
"臺灣企業社會責任中小型報酬指數","5,175.09","+","65.60","1.28","",
"報酬指數(臺灣指數公司)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"漲升股利150報酬指數","7,879.79","-","3.06","-0.04","",
"漲升股利100報酬指數","7,783.80","-","7.17","-0.09","",
"藍籌30報酬指數","7,705.01","-","31.00","-0.40","",
"工業菁英30報酬指數","8,388.25","-","36.23","-0.43","",
