上櫃股票每日收盤行情(不含定價)
產業類別:所有證券(不含權證、牛熊證)
資料日期:114/04/29
代號,名稱,收盤 ,漲跌,開盤 ,最高 ,最低,成交股數  , 成交金額(元), 成交筆數 ,最後買價,最後買量(張數),最後賣價,最後賣量(張數),發行股數 ,次日漲停價 ,次日跌停價
"00679B","元大美債20年","28.53","-0.06","28.64","28.65","28.48","26,430,000","754,513,270","3,133","28.53","486","28.54","100","9,052,192,000","9,999.95","0.01"
"00687B","國泰20年美債","29.61","-0.06","29.73","29.73","29.57","28,350,000","839,930,060","2,726","29.61","2,845","29.62","330","7,266,150,055","9,999.95","0.01"
"00687C","國泰20年美債+櫃U","9.29","+0.03","9.28","9.29","9.28","53,300","495,126","13","9.29","102","9.30","109","213,687","9,999.95","0.01"
"00694B","富邦美債1-3","42.19","-0.24","42.43","42.43","42.19","292,000","12,343,780","32","42.19","94","42.21","2","175,076,000","9,999.95","0.01"
"00695B","富邦美債7-10","35.96","-0.12","36.11","36.11","35.94","286,000","10,297,420","42","35.96","9","35.97","2","41,686,000","9,999.95","0.01"
"00696B","富邦美債20年","30.61","-0.08","30.70","30.74","30.58","3,863,000","118,243,870","138","30.61","36","30.62","11","929,181,000","9,999.95","0.01"
"00697B","元大美債7-10","36.66","-0.11","36.81","36.84","36.65","345,000","12,672,560","100","36.66","6","36.67","52","59,212,000","9,999.95","0.01"
"00718B","富邦中國政策債","20.96","-0.07","20.99","20.99","20.95","154,000","3,227,780","16","20.93","3","20.94","1","6,501,000","9,999.95","0.01"
"00719B","元大美債1-3","31.78","-0.16","31.99","31.99","31.78","4,627,000","147,357,140","1,075","31.78","232","31.79","112","470,514,000","9,999.95","0.01"
"00720B","元大投資級公司債","33.72","-0.16","33.86","33.87","33.69","6,457,000","217,836,880","981","33.71","101","33.72","22","4,137,609,000","9,999.95","0.01"
"00722B","群益投資級電信債","37.25","-0.17","37.42","37.42","37.22","2,564,000","95,524,570","145","37.24","12","37.25","4","1,493,239,000","9,999.95","0.01"
"00723B","群益投資級科技債","32.38","-0.13","32.47","32.47","32.37","156,000","5,050,920","8","32.35","107","32.36","1","1,505,083,000","9,999.95","0.01"
"00724B","群益投資級金融債","34.01","-0.12","34.13","34.13","33.99","6,496,000","220,932,270","105","34.00","18","34.01","49","2,845,275,000","9,999.95","0.01"
"00725B","國泰投資級公司債","35.78","-0.14","35.93","35.93","35.75","9,866,000","353,707,040","949","35.78","17","35.79","86","3,523,706,000","9,999.95","0.01"
"00726B","國泰新興投等債","33.07","-0.12","33.19","33.19","33.06","140,000","4,632,750","29","33.07","10","33.08","6","1,169,489,000","9,999.95","0.01"
"00727B","國泰優選非投等債","40.00","-0.20","40.21","40.21","40.00","127,000","5,080,630","11","39.97","33","40.00","1","88,689,000","9,999.95","0.01"
"00734B","台新JPM新興債","15.41","-0.06","15.47","15.47","15.41","505,000","7,792,920","9","15.38","51","15.41","3","28,979,000","9,999.95","0.01"
"00740B","富邦全球投等債","39.25","-0.17","39.45","39.45","39.21","3,911,000","153,579,170","124","39.25","237","39.26","3","1,671,471,000","9,999.95","0.01"
"00741B","富邦全球非投等債","38.26","-0.31","38.45","38.46","38.24","473,000","18,103,710","38","38.25","1","38.27","1","17,128,000","9,999.95","0.01"
"00746B","富邦A級公司債","36.09","-0.20","36.23","36.23","36.06","592,000","21,367,060","28","36.08","1","36.09","138","2,432,964,000","9,999.95","0.01"
"00749B","凱基新興債10+","30.74","-0.17","30.79","30.79","30.74","101,000","3,104,790","3","30.76","1","30.77","4","955,000,000","9,999.95","0.01"
"00750B","凱基科技債10+","34.33","-0.20","34.36","34.36","34.32","106,000","3,639,120","12","34.28","11","34.30","1","147,500,000","9,999.95","0.01"
