"109年07月16日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","13,994.41","-","55.46","-0.39","",
"發行量加權股價指數","12,157.74","-","45.11","-0.37","",
"臺灣公司治理100指數","6,965.38","-","45.14","-0.64","",
"臺灣50指數","9,450.00","-","70.60","-0.74","",
"臺灣50權重上限30%指數","9,199.45","-","54.16","-0.59","",
"臺灣中型100指數","9,402.36","+","4.08","0.04","",
"臺灣資訊科技指數","14,660.97","-","170.94","-1.15","",
"臺灣發達指數","8,454.99","+","13.70","0.16","",
"臺灣高股息指數","6,685.36","-","9.73","-0.15","",
"臺灣就業99指數","6,754.49","+","2.71","0.04","",
"臺灣高薪100指數","6,328.35","+","0.05","--","",
"未含金融指數","10,423.35","-","38.13","-0.36","",
"未含電子指數","14,478.19","+","10.25","0.07","",
"未含金融電子指數","12,051.84","+","34.89","0.29","",
"小型股300指數","6,859.92","+","29.02","0.42","",
"水泥窯製類指數","605.58","-","11.05","-1.79","",
"塑膠化工類指數","767.49","+","5.40","0.71","",
"機電類指數","3,118.60","-","19.50","-0.62","",
"水泥類指數","170.11","-","3.95","-2.27","",
"食品類指數","1,802.66","-","4.76","-0.26","",
"塑膠類指數","222.33","+","1.41","0.64","",
"紡織纖維類指數","519.00","+","8.15","1.60","",
"電機機械類指數","189.95","+","2.19","1.17","",
"電器電纜類指數","49.23","-","0.30","-0.61","",
"化學生技醫療類指數","106.85","+","0.40","0.38","",
"化學類指數","107.60","+","0.40","0.37","",
"生技醫療類指數","72.92","+","0.28","0.39","",
"玻璃陶瓷類指數","28.81","+","1.07","3.86","",
"造紙類指數","238.32","+","0.19","0.08","",
"鋼鐵類指數","90.94","+","0.24","0.26","",
"橡膠類指數","246.64","+","4.43","1.83","",
"汽車類指數","350.48","-","0.79","-0.22","",
"電子工業類指數","558.22","-","3.73","-0.66","",
"半導體類指數","245.28","-","2.96","-1.19","",
"電腦及週邊設備類指數","113.99","+","0.06","0.05","",
"光電類指數","39.15","-","0.01","-0.03","",
"通信網路類指數","127.35","-","0.96","-0.75","",
"電子零組件類指數","125.92","+","0.29","0.23","",
"電子通路類指數","125.00","+","0.12","0.10","",
"資訊服務類指數","127.07","+","0.05","0.04","",
"其他電子類指數","85.72","+","0.60","0.70","",
"建材營造類指數","311.86","+","2.15","0.69","",
"航運類指數","59.69","+","0.27","0.45","",
"觀光類指數","91.12","-","0.07","-0.08","",
"金融保險類指數","1,278.08","-","5.20","-0.41","",
"貿易百貨類指數","272.26","-","2.60","-0.95","",
"油電燃氣類指數","112.22","+","1.76","1.59","",
"其他類指數","286.46","-","1.15","-0.40","",
"臺指日報酬兩倍指數","19,963.74","-","148.70","-0.74","",
"臺指反向一倍指數","6,077.87","+","22.39","0.37","",
"電子類兩倍槓桿指數","19,111.48","-","257.12","-1.33","",
"電子類反向指數","5,739.87","+","37.85","0.66","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技指數","4,940.04","-","9.46","-0.19","",
"臺灣中小型公司治理指數","6,340.01","+","57.18","0.91","",
"臺灣IPO指數","5,929.69","-","74.88","-1.25","",
"智慧中立指數","4,728.01","-","20.37","-0.43","",
"臺灣企業社會責任中小型指數","5,108.85","+","25.79","0.51","",
"價格指數(臺灣指數公司)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"金融類日報酬兩倍指數","19,230.08","-","157.12","-0.81","",
"金融類日報酬反向一倍指數","6,363.88","+","25.68","0.41","",
"漲升股利150指數","6,427.52","+","7.55","0.12","",
"漲升股利100指數","6,418.05","+","1.52","0.02","",
"藍籌30指數","6,382.14","-","36.66","-0.57","",
"工業菁英30指數","6,885.55","-","30.85","-0.45","",
"電子菁英30指數","7,007.06","-","34.71","-0.49","",
"低波動股利精選30指數","5,874.97","-","1.14","-0.02","",
"低貝塔100指數","5,889.98","-","2.53","-0.04","",
"藍籌30反向一倍指數","7,174.24","+","40.74","0.57","",
"中小型精選50指數","6,128.28","-","33.37","-0.54","",
"中小型A級動能50指數","8,798.73","+","25.49","0.29","",
"特選高息低波指數","5,462.88","-","0.85","-0.02","",
"臺灣永續指數","6,047.64","-","28.08","-0.46","",
"工業菁英30反向一倍指數","7,623.87","+","33.85","0.45","",
"特選內需高收益指數","5,791.27","-","46.61","-0.80","",
"價值投資指數","6,537.05","+","50.52","0.78","",
"中小型300指數","6,463.09","+","9.72","0.15","",
"臺灣勞工權益指數","5,587.38","-","9.51","-0.17","",
"智慧投資多因子30指數","5,062.62","-","37.00","-0.73","",
"臺股期貨指數","5,485.99","-","22.34","-0.41","",
"臺灣上櫃企業社會責任指數","5,205.74","+","22.69","0.44","",
"報酬指數(臺灣證券交易所)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價報酬指數","17,930.39","-","47.70","-0.27","",
"發行量加權股價報酬指數","23,124.32","-","65.36","-0.28","",
"臺灣公司治理100報酬指數","8,757.61","-","54.72","-0.62","",
"臺灣50報酬指數","--","","--","--","",
"臺灣50權重上限30%報酬指數","--","","--","--","",
"臺灣中型100報酬指數","--","","--","--","",
"臺灣資訊科技報酬指數","--","","--","--","",
"臺灣發達報酬指數","--","","--","--","",
"臺灣高股息報酬指數","--","","--","--","",
"臺灣就業99報酬指數","9,536.04","+","7.21","0.08","",
"臺灣高薪100報酬指數","8,137.74","+","5.54","0.07","",
"未含金融電子報酬指數","23,182.05","+","99.37","0.43","",
"小型股300報酬指數","8,252.07","+","50.65","0.62","",
"水泥類報酬指數","285.48","-","5.97","-2.05","",
"食品類報酬指數","2,535.95","+","4.47","0.18","",
"塑膠類報酬指數","365.39","+","2.32","0.64","",
"紡織纖維類報酬指數","773.98","+","12.14","1.59","",
"電機機械類報酬指數","270.52","+","3.20","1.20","",
"電器電纜類報酬指數","69.34","-","0.18","-0.26","",
"化學生技醫療類報酬指數","155.93","+","0.63","0.41","",
"化學類報酬指數","166.26","+","0.71","0.43","",
"生技醫療類報酬指數","97.22","+","0.38","0.39","",
"玻璃陶瓷類報酬指數","33.07","+","1.23","3.86","",
"造紙類報酬指數","342.20","+","0.28","0.08","",
"鋼鐵類報酬指數","137.25","+","0.38","0.28","",
"橡膠類報酬指數","361.87","+","6.49","1.83","",
"汽車類報酬指數","516.86","-","1.17","-0.23","",
"電子工業類報酬指數","970.17","-","6.18","-0.63","",
"半導體類報酬指數","406.23","-","4.88","-1.19","",
"電腦及週邊設備類報酬指數","218.44","+","0.29","0.13","",
"光電類報酬指數","52.90","+","0.03","0.06","",
"通信網路類報酬指數","246.58","-","1.82","-0.73","",
"電子零組件類報酬指數","218.17","+","0.68","0.31","",
"電子通路類報酬指數","257.11","+","0.76","0.30","",
"資訊服務類報酬指數","262.06","+","0.12","0.05","",
"其他電子類報酬指數","122.11","+","0.88","0.73","",
"建材營造類報酬指數","547.07","+","4.19","0.77","",
"航運類報酬指數","82.80","+","0.37","0.45","",
"觀光類報酬指數","119.12","+","0.41","0.35","",
"金融保險類報酬指數","1,997.42","-","2.99","-0.15","",
"貿易百貨類報酬指數","393.43","-","1.42","-0.36","",
"油電燃氣類報酬指數","168.73","+","2.64","1.59","",
"其他類報酬指數","448.38","-","0.16","-0.04","",
"報酬指數(跨市場)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技報酬指數","5,221.94","-","9.64","-0.18","",
"臺灣中小型公司治理報酬指數","7,493.78","+","67.59","0.91","",
"臺灣IPO報酬指數","6,418.31","-","27.34","-0.42","",
"智慧中立報酬指數","4,851.39","-","7.33","-0.15","",
"加權指數掩護性臺指買權價外5%報酬指數","5,110.47","-","9.59","-0.19","",
"臺灣5G報酬指數","6,045.07","-","28.41","-0.47","",
"臺灣企業社會責任中小型報酬指數","5,219.03","+","35.14","0.68","",
