"109年08月10日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","14,739.95","+","59.24","0.40","",
"發行量加權股價指數","12,894.00","+","65.13","0.51","",
"臺灣公司治理100指數","7,571.15","+","44.60","0.59","",
"臺灣50指數","10,385.72","+","68.98","0.67","",
"臺灣50權重上限30%指數","9,891.00","+","67.72","0.69","",
"臺灣中型100指數","9,640.04","-","43.30","-0.45","",
"臺灣資訊科技指數","17,263.34","+","65.34","0.38","",
"臺灣發達指數","8,363.89","+","41.43","0.50","",
"臺灣高股息指數","6,791.67","-","23.77","-0.35","",
"臺灣就業99指數","6,952.58","+","46.64","0.68","",
"臺灣高薪100指數","6,527.07","+","58.37","0.90","",
"未含金融指數","11,150.86","+","51.11","0.46","",
"未含電子指數","14,320.12","+","138.91","0.98","",
"未含金融電子指數","11,879.69","+","121.68","1.03","",
"小型股300指數","6,890.02","+","3.72","0.05","",
"水泥窯製類指數","599.41","-","1.83","-0.30","",
"塑膠化工類指數","758.32","+","11.60","1.55","",
"機電類指數","3,449.72","+","7.65","0.22","",
"水泥類指數","168.50","-","0.72","-0.43","",
"食品類指數","1,734.15","+","4.36","0.25","",
"塑膠類指數","220.91","+","5.73","2.66","",
"紡織纖維類指數","507.21","+","3.47","0.69","",
"電機機械類指數","194.31","-","0.52","-0.27","",
"電器電纜類指數","51.77","+","0.65","1.27","",
"化學生技醫療類指數","104.82","-","0.99","-0.94","",
"化學類指數","109.43","-","0.31","-0.28","",
"生技醫療類指數","69.13","-","1.09","-1.55","",
"玻璃陶瓷類指數","28.28","+","0.31","1.11","",
"造紙類指數","232.91","+","1.06","0.46","",
"鋼鐵類指數","89.04","+","0.83","0.94","",
"橡膠類指數","239.34","+","1.25","0.53","",
"汽車類指數","333.52","+","5.02","1.53","",
"電子工業類指數","618.74","+","1.41","0.23","",
"半導體類指數","291.46","+","0.82","0.28","",
"電腦及週邊設備類指數","115.91","+","0.41","0.35","",
"光電類指數","39.58","-","0.12","-0.30","",
"通信網路類指數","122.69","-","0.61","-0.49","",
"電子零組件類指數","134.77","-","0.49","-0.36","",
"電子通路類指數","126.19","+","0.06","0.05","",
"資訊服務類指數","126.31","-","0.51","-0.40","",
"其他電子類指數","81.05","+","1.25","1.57","",
"建材營造類指數","310.02","+","3.32","1.08","",
"航運類指數","60.21","+","2.10","3.61","",
"觀光類指數","86.04","-","0.17","-0.20","",
"金融保險類指數","1,273.52","+","10.87","0.86","",
"貿易百貨類指數","256.00","-","0.48","-0.19","",
"油電燃氣類指數","110.15","+","2.53","2.35","",
"其他類指數","290.14","+","0.86","0.30","",
"臺指日報酬兩倍指數","22,414.60","+","225.30","1.02","",
"臺指反向一倍指數","5,720.25","-","29.19","-0.51","",
"電子類兩倍槓桿指數","23,379.71","+","106.31","0.46","",
"電子類反向指數","5,154.95","-","11.80","-0.23","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技指數","4,659.64","-","57.97","-1.23","",
"臺灣中小型公司治理指數","6,399.22","-","56.03","-0.87","",
"臺灣IPO指數","5,956.10","+","72.02","1.22","",
"智慧中立指數","4,551.79","-","17.00","-0.37","",
"臺灣企業社會責任中小型指數","5,187.75","+","17.20","0.33","",
"價格指數(臺灣指數公司)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"金融類日報酬兩倍指數","19,078.20","+","322.92","1.72","",
