"109年07月08日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","14,064.81","+","109.78","0.79","",
"發行量加權股價指數","12,170.19","+","77.22","0.64","",
"臺灣公司治理100指數","6,916.21","+","39.74","0.58","",
"臺灣50指數","9,360.51","+","60.38","0.65","",
"臺灣50權重上限30%指數","9,179.85","+","57.66","0.63","",
"臺灣中型100指數","9,517.84","+","58.85","0.62","",
"臺灣資訊科技指數","14,327.51","+","158.88","1.12","",
"臺灣發達指數","8,552.25","+","20.94","0.25","",
"臺灣高股息指數","6,778.00","+","36.57","0.54","",
"臺灣就業99指數","6,809.52","+","11.33","0.17","",
"臺灣高薪100指數","6,367.98","+","22.52","0.35","",
"未含金融指數","10,419.55","+","75.20","0.73","",
"未含電子指數","14,614.77","+","29.43","0.20","",
"未含金融電子指數","12,158.71","+","33.71","0.28","",
"小型股300指數","6,977.24","+","76.57","1.11","",
"水泥窯製類指數","611.90","+","5.40","0.89","",
"塑膠化工類指數","780.16","+","5.73","0.74","",
"機電類指數","3,102.97","+","28.80","0.94","",
"水泥類指數","172.41","+","1.47","0.86","",
"食品類指數","1,804.44","+","1.15","0.06","",
"塑膠類指數","225.18","-","0.62","-0.27","",
"紡織纖維類指數","519.56","+","0.51","0.10","",
"電機機械類指數","185.30","+","1.24","0.67","",
"電器電纜類指數","49.42","+","1.01","2.09","",
"化學生技醫療類指數","110.63","+","2.65","2.45","",
"化學類指數","110.07","+","2.60","2.42","",
"生技醫療類指數","76.33","+","1.84","2.47","",
"玻璃陶瓷類指數","28.12","+","0.35","1.26","",
"造紙類指數","238.44","+","5.97","2.57","",
"鋼鐵類指數","90.82","+","0.29","0.32","",
"橡膠類指數","246.04","+","7.32","3.07","",
"汽車類指數","356.09","-","0.34","-0.10","",
"電子工業類指數","555.65","+","5.15","0.94","",
"半導體類指數","240.43","+","2.98","1.26","",
"電腦及週邊設備類指數","114.34","+","0.38","0.33","",
"光電類指數","40.94","+","0.17","0.42","",
"通信網路類指數","131.21","+","0.46","0.35","",
"電子零組件類指數","127.42","+","1.76","1.40","",
"電子通路類指數","124.93","+","0.61","0.49","",
"資訊服務類指數","132.37","+","1.34","1.02","",
"其他電子類指數","85.51","+","0.04","0.05","",
"建材營造類指數","312.34","+","0.60","0.19","",
"航運類指數","61.46","-","0.40","-0.65","",
"觀光類指數","91.99","-","0.36","-0.39","",
"金融保險類指數","1,291.72","+","0.47","0.04","",
"貿易百貨類指數","280.73","-","1.77","-0.63","",
"油電燃氣類指數","115.72","-","0.30","-0.26","",
"其他類指數","282.60","+","0.80","0.28","",
"臺指日報酬兩倍指數","20,009.49","+","252.32","1.28","",
"臺指反向一倍指數","6,073.13","-","39.03","-0.64","",
"電子類兩倍槓桿指數","18,942.81","+","347.92","1.87","",
"電子類反向指數","5,768.54","-","54.48","-0.94","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技指數","5,091.70","+","141.53","2.86","",
"臺灣中小型公司治理指數","6,390.42","+","53.99","0.85","",
"臺灣IPO指數","6,270.83","+","85.85","1.39","",
"智慧中立指數","4,849.48","-","16.72","-0.34","",
"臺灣企業社會責任中小型指數","5,119.91","+","8.32","0.16","",
"價格指數(臺灣指數公司)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"金融類日報酬兩倍指數","19,644.83","+","14.29","0.07","",
"金融類日報酬反向一倍指數","6,297.35","-","2.29","-0.04","",
"漲升股利150指數","6,485.56","+","28.69","0.44","",
"漲升股利100指數","6,466.26","+","30.23","0.47","",
"藍籌30指數","6,465.50","+","57.47","0.90","",
"工業菁英30指數","7,066.31","+","96.41","1.38","",
"電子菁英30指數","7,097.79","+","39.56","0.56","",
"低波動股利精選30指數","5,916.39","+","7.21","0.12","",
"低貝塔100指數","5,977.13","+","27.32","0.46","",
"藍籌30反向一倍指數","7,083.96","-","64.11","-0.90","",
"中小型精選50指數","6,226.09","+","20.98","0.34","",
"中小型A級動能50指數","8,961.40","+","46.60","0.52","",
"特選高息低波指數","5,500.67","+","26.99","0.49","",
"臺灣永續指數","6,013.26","+","43.66","0.73","",
"工業菁英30反向一倍指數","7,433.97","-","104.27","-1.38","",
"特選內需高收益指數","5,905.21","+","12.79","0.22","",
"價值投資指數","6,572.24","-","6.90","-0.10","",
"中小型300指數","6,530.16","+","51.79","0.80","",
"臺灣勞工權益指數","5,573.44","+","15.43","0.28","",
"智慧投資多因子30指數","5,165.15","+","14.05","0.27","",
"臺股期貨指數","5,453.01","+","44.07","0.81","",
"臺灣上櫃企業社會責任指數","5,310.25","+","92.77","1.78","",
"報酬指數(臺灣證券交易所)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價報酬指數","17,940.05","+","149.58","0.84","",
"發行量加權股價報酬指數","23,052.12","+","158.44","0.69","",
"臺灣公司治理100報酬指數","8,668.91","+","54.09","0.63","",
"臺灣50報酬指數","--","","--","--","",
"臺灣50權重上限30%報酬指數","--","","--","--","",
"臺灣中型100報酬指數","--","","--","--","",
"臺灣資訊科技報酬指數","--","","--","--","",
"臺灣發達報酬指數","--","","--","--","",
"臺灣高股息報酬指數","--","","--","--","",
"臺灣就業99報酬指數","9,560.09","+","19.19","0.20","",
"臺灣高薪100報酬指數","8,150.83","+","29.23","0.36","",
"未含金融電子報酬指數","23,259.85","+","89.21","0.39","",
"小型股300報酬指數","8,322.82","+","101.72","1.24","",
"水泥類報酬指數","288.69","+","2.46","0.86","",
"食品類報酬指數","2,523.08","+","2.06","0.08","",
"塑膠類報酬指數","370.04","-","1.01","-0.27","",
"紡織纖維類報酬指數","762.95","+","0.74","0.10","",
"電機機械類報酬指數","263.41","+","2.23","0.85","",
"電器電纜類報酬指數","69.32","+","1.67","2.47","",
"化學生技醫療類報酬指數","160.10","+","3.91","2.50","",
"化學類報酬指數","167.97","+","4.16","2.54","",
"生技醫療類報酬指數","101.30","+","2.44","2.47","",
"玻璃陶瓷類報酬指數","32.27","+","0.39","1.22","",
"造紙類報酬指數","338.20","+","8.47","2.57","",
"鋼鐵類報酬指數","136.42","+","0.44","0.32","",
"橡膠類報酬指數","359.17","+","10.68","3.06","",
"汽車類報酬指數","518.55","-","0.49","-0.09","",
"電子工業類報酬指數","962.93","+","9.32","0.98","",
"半導體類報酬指數","397.50","+","4.97","1.27","",
"電腦及週邊設備類報酬指數","217.95","+","0.74","0.34","",
"光電類報酬指數","55.19","+","0.23","0.42","",
"通信網路類報酬指數","252.39","+","0.87","0.35","",
"電子零組件類報酬指數","219.87","+","3.62","1.67","",
"電子通路類報酬指數","255.19","+","1.47","0.58","",
"資訊服務類報酬指數","268.21","+","2.71","1.02","",
"其他電子類報酬指數","121.62","+","0.15","0.12","",
"建材營造類報酬指數","543.50","+","1.66","0.31","",
"航運類報酬指數","85.03","+","0.90","1.07","",
"觀光類報酬指數","119.74","-","0.48","-0.40","",
"金融保險類報酬指數","2,003.99","+","0.73","0.04","",
"貿易百貨類報酬指數","402.25","-","2.53","-0.63","",
"油電燃氣類報酬指數","173.63","-","0.46","-0.26","",
"其他類報酬指數","439.59","+","1.41","0.32","",
"報酬指數(跨市場)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技報酬指數","5,370.82","+","149.29","2.86","",
"臺灣中小型公司治理報酬指數","7,503.81","+","64.14","0.86","",
"臺灣IPO報酬指數","6,718.65","+","91.99","1.39","",
"智慧中立報酬指數","4,922.78","-","16.72","-0.34","",
"加權指數掩護性臺指買權價外5%報酬指數","5,061.47","+","23.03","0.46","",
"臺灣5G報酬指數","6,176.13","+","125.48","2.07","",
"臺灣企業社會責任中小型報酬指數","5,192.56","+","13.49","0.26","",
"報酬指數(臺灣指數公司)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"漲升股利150報酬指數","7,813.71","+","42.50","0.55","",
"漲升股利100報酬指數","7,825.05","+","40.98","0.53","",
"藍籌30報酬指數","7,497.10","+","66.65","0.90","",
"工業菁英30報酬指數","8,208.16","+","111.99","1.38","",
"電子菁英30報酬指數","8,119.91","+","45.25","0.56","",
"低波動股利精選30報酬指數","6,890.75","+","8.40","0.12","",
"低貝塔100報酬指數","6,932.44","+","35.98","0.52","",
"中小型精選50報酬指數","7,362.21","+","24.82","0.34","",
"中小型A級動能50報酬指數","9,838.42","+","55.28","0.57","",
"特選高息低波報酬指數","6,510.79","+","36.37","0.56","",
"臺灣永續報酬指數","--","","--","--","",
"特選內需高收益報酬指數","6,655.69","+","24.67","0.37","",
"價值投資報酬指數","7,603.81","-","7.98","-0.10","",
"存股雙十等權重報酬指數","5,904.02","+","2.49","0.04","",
"特選大蘋果報酬指數","6,624.98","+","7.60","0.11","",
"中小型300報酬指數","6,884.16","+","59.52","0.87","",
"特股高息20報酬指數","5,699.79","+","15.86","0.28","",
"臺灣500報酬指數","6,615.46","+","43.81","0.67","",
"特選外資豐擁50報酬指數","6,669.83","+","41.73","0.63","",
"臺灣勞工權益報酬指數","5,940.33","+","17.29","0.29","",
"微波高息精選20報酬指數","5,166.00","+","5.52","0.11","",
"特選世代行動通訊報酬指數","5,799.00","+","75.60","1.32","",
"智慧投資多因子30報酬指數","5,238.79","+","14.25","0.27","",
"特選大蘋果報酬正向兩倍指數","9,853.15","+","22.58","0.23","",
"特選大蘋果報酬反向一倍指數","9,386.93","-","10.79","-0.11","",
"特選價值成長報酬指數","5,163.88","+","21.66","0.42","",
"臺灣上櫃企業責任報酬指數","5,398.91","+","106.02","2.00","",
"109年07月08日 大盤統計資訊"
"成交統計","成交金額(元)","成交股數(股)","成交筆數",
"1.一般股票","219,806,974,040","3,603,650,000","1,493,795",
"2.台灣存託憑證","216,110,110","17,314,000","4,782",
"3.受益憑證","0","0","0",
"4.ETF","14,543,901,935","868,110,200","110,376",
"5.受益證券","10,460,760","693,000","182",
"6.變更交易股票","91,037,900","8,224,000","2,504",
"7.認購(售)權證","2,737,015,750","1,810,813,000","97,292",
"8.轉換公司債","0","0","0",
"9.附認股權特別股","0","0","0",
"10.附認股權公司債","0","0","0",
"11.認股權憑證","0","0","0",
"12.公司債","0","0","0",
"13.ETN","18,651,290","1,798,000","277",
"證券合計(1+6)","219,898,011,940","3,611,874,000","1,496,299",
"總計(1~13)","237,424,151,785","6,310,602,200","1,709,208",
"漲跌證券數合計"
"類型","整體市場","股票",
"上漲(漲停)","4,429(86)","571(30)",
