"110年06月27日 大盤統計資訊"
"成交統計","成交金額(元)","成交股數(股)","成交筆數",
"1.一般股票","1,408,134,906","6,549,161","4,259",
"2.台灣存託憑證","6,003,000","2,001,000","2,001",
"3.受益憑證","0","0","0",
"4.ETF","22,569,902","194,343","112",
"5.受益證券","0","0","0",
"6.變更交易股票","0","0","0",
"7.認購(售)權證","2,329,960","5,060,000","64",
"8.轉換公司債","0","0","0",
"9.附認股權特別股","0","0","0",
"10.附認股權公司債","0","0","0",
"11.認股權憑證","0","0","0",
"12.公司債","0","0","0",
"13.ETN","0","0","0",
"14.創新板股票","1,803,779,350","34,659,000","3,404",
"15.創新板-變更交易方法股票","0","0","0",
"證券合計(1+6+14+15)","3,211,914,256","41,208,161","7,663",
"總計(1~15)","3,242,817,118","48,463,504","9,840",
"漲跌證券數合計"
"類型","整體市場","股票",
"上漲(漲停)","5,328(200)","420(24)",
"下跌(跌停)","4,707(32)","415(0)",
"持平","836","107",
"未成交","10,333","3",
"無比價","2,167","6",
"備註:"
""漲跌價差"為當日收盤價與前一日收盤價比較。",
""無比價"含前一日無收盤價、當日除權、除息、新上市、恢復交易者。",
"不加計外幣交易證券交易金額。",

"110年06月27日每日收盤行情(全部(不含權證、牛熊證))"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
="00666R","富邦恒生國企反1","0","0","0","--","--","--","--"," ","0.00","--","3","--","48","0.00",
="00668","國泰美國道瓊","0","0","0","--","--","--","--"," ","0.00","--","1","--","9","0.00",
="00668K","國泰美國道瓊+U","0","0","0","--","--","--","--"," ","0.00","--","6","--","6","0.00",
="00669R","國泰美國道瓊反1","0","0","0","--","--","--","--"," ","0.00","--","632","--","1,043","0.00",
="00670L","富邦NASDAQ正2","0","0","0","--","--","--","--"," ","0.00","--","7","--","19","0.00",
="00671R","富邦NASDAQ反1","0","0","0","--","--","--","--"," ","0.00","--","1,437","--","1,201","0.00",
="00673R","期元大S&P原油反1","0","0","0","--","--","--","--"," ","0.00","--","12","--","153","0.00",
="00674R","期元大S&P黃金反1","0","0","0","--","--","--","--"," ","0.00","--","135","--","68","0.00",
="00675L","富邦臺灣加權正2","0","0","0","--","--","--","--"," ","0.00","--","1","--","193","0.00",
="00676R","富邦臺灣加權反1","0","0","0","--","--","--","--"," ","0.00","--","2,836","--","56","0.00",
="00678","群益NBI生技","0","0","0","--","--","--","--"," ","0.00","--","2","--","11","0.00",
="00680L","元大美債20正2","0","0","0","--","--","--","--"," ","0.00","--","72","--","40","0.00",
="00681R","元大美債20反1","0","0","0","--","--","--","--"," ","0.00","--","55","--","20","0.00",
="00682U","期元大美元指數","0","0","0","--","--","--","--"," ","0.00","--","3","--","1","0.00",
="00683L","期元大美元指正2","0","0","0","--","--","--","--"," ","0.00","--","7","--","39","0.00",
="00684R","期元大美元指反1","0","0","0","--","--","--","--"," ","0.00","--","20","--","20","0.00",
="00685L","群益臺灣加權正2","0","0","0","--","--","--","--"," ","0.00","--","10","--","10","0.00",
="00686R","群益臺灣加權反1","0","0","0","--","--","--","--"," ","0.00","--","10","--","239","0.00",
="00688L","國泰20年美債正2","0","0","0","--","--","--","--"," ","0.00","--","1","--","50","0.00",
="00689R","國泰20年美債反1","0","0","0","--","--","--","--"," ","0.00","--","1","--","220","0.00",
="00690","兆豐藍籌30","0","0","0","--","--","--","--"," ","0.00","--","20","--","2","0.00",
="00692","富邦公司治理","0","0","0","--","--","--","--"," ","0.00","--","31","--","1","0.00",
="00693U","期街口S&P黃豆","0","0","0","--","--","--","--"," ","0.00","--","37","--","10","0.00",
="00700","富邦恒生國企","0","0","0","--","--","--","--"," ","0.00","--","30","--","14","0.00",
="00701","國泰股利精選30","0","0","0","--","--","--","--"," ","0.00","--","46","--","3","0.00",
="00702","國泰標普低波高息","0","0","0","--","--","--","--"," ","0.00","--","20","--","50","0.00",
="00703","台新MSCI中國","0","0","0","--","--","--","--"," ","0.00","--","20","--","3","0.00",
="00706L","期元大S&P日圓正2","0","0","0","--","--","--","--"," ","0.00","--","1","--","97","0.00",
="00707R","期元大S&P日圓反1","0","0","0","--","--","--","--"," ","0.00","--","30","--","22","0.00",
="00708L","期元大S&P黃金正2","0","0","0","--","--","--","--"," ","0.00","--","303","--","7","0.00",
="00709","富邦歐洲","0","0","0","--","--","--","--"," ","0.00","--","16","--","25","0.00",
="00710B","FH彭博高收益債","0","0","0","--","--","--","--"," ","0.00","--","8","--","39","0.00",
="00711B","FH彭博新興債","0","0","0","--","--","--","--"," ","0.00","--","7","--","14","0.00",
="00712","FH富時不動產","0","0","0","--","--","--","--"," ","0.00","--","13","--","163","0.00",
="00713","元大台灣高息低波","0","0","0","--","--","--","--"," ","0.00","--","1","--","35","0.00",
="00714","群益道瓊美國地產","0","0","0","--","--","--","--"," ","0.00","--","1","--","50","0.00",
="00715L","期街口布蘭特正2","0","0","0","--","--","--","--"," ","0.00","--","430","--","32","0.00",
="00717","富邦美國特別股","0","0","0","--","--","--","--"," ","0.00","--","29","--","29","0.00",
="00728","第一金工業30","0","0","0","--","--","--","--"," ","0.00","--","2","--","10","0.00",
="00730","富邦臺灣優質高息","0","0","0","--","--","--","--"," ","0.00","--","11","--","1","0.00",
="00731","FH富時高息低波","0","0","0","--","--","--","--"," ","0.00","--","1","--","2","0.00",
="00732","國泰RMB短期報酬","0","0","0","--","--","--","--"," ","0.00","--","1","--","14","0.00",
="00733","富邦臺灣中小","0","0","0","--","--","--","--"," ","0.00","--","3","--","7","0.00",
="00735","國泰臺韓科技","0","0","0","--","--","--","--"," ","0.00","--","25","--","10","0.00",
="00736","國泰新興市場","0","0","0","--","--","--","--"," ","0.00","--","8","--","29","0.00",
="00737","國泰AI+Robo","0","0","0","--","--","--","--"," ","0.00","--","37","--","42","0.00",
="00738U","期元大道瓊白銀","1,000","1","30,000","30.00","30.00","30.00","30.00","+","3.10","--","10","--","50","0.00",
="00739","元大MSCI A股","0","0","0","--","--","--","--"," ","0.00","--","46","--","14","0.00",
="00742","新光內需收益","0","0","0","--","--","--","--"," ","0.00","--","1","--","752","0.00",
="00743","國泰中國A150","0","0","0","--","--","--","--"," ","0.00","--","20","--","26","0.00",
="00752","中信中國50","0","0","0","--","--","--","--"," ","0.00","--","42","--","11","0.00",
="00753L","中信中國50正2","0","0","0","--","--","--","--"," ","0.00","--","55","--","3","0.00",
="00757","統一FANG+","0","0","0","--","--","--","--"," ","0.00","--","73","--","1","0.00",
="00762","元大全球AI","0","0","0","--","--","--","--"," ","0.00","--","49","--","5","0.00",
="00763U","期街口道瓊銅","0","0","0","--","--","--","--"," ","0.00","--","2","--","632","0.00",
="00770","國泰北美科技","0","0","0","--","--","--","--"," ","0.00","--","50","--","30","0.00",
="00771","元大US高息特別股","0","0","0","--","--","--","--"," ","0.00","--","5","--","20","0.00",
="00774B","新光中國政金綠債","0","0","0","--","--","--","--"," ","0.00","--","9","--","1","0.00",
="00774C","新光中政金綠債+R","0","0","0","--","--","--","--"," ","0.00","--","3","--","2","0.00",
="00775B","新光投等債15+","0","0","0","--","--","--","--"," ","0.00","--","100","--","1","0.00",
="00783","富邦中証500","0","0","0","--","--","--","--"," ","0.00","--","20","--","2","0.00",
="008201","BP上證50","0","0","0","--","--","--","--"," ","0.00","--","1","--","1","0.00",
="00830","國泰費城半導體","0","0","0","--","--","--","--"," ","0.00","--","74","--","16","0.00",
="00850","元大臺灣ESG永續","0","0","0","--","--","--","--"," ","0.00","30.96","1","37.82","1","0.00",
="00851","台新全球AI","0","0","0","--","--","--","--"," ","0.00","--","20","--","24","0.00",
="00852L","國泰美國道瓊正2","0","0","0","--","--","--","--"," ","0.00","--","3","--","249","0.00",
="00861","元大全球未來通訊","0","0","0","--","--","--","--"," ","0.00","--","17","--","2","0.00",
="00865B","國泰US短期公債","0","0","0","--","--","--","--"," ","0.00","--","50","--","45","0.00",
="00875","國泰網路資安","0","0","0","--","--","--","--"," ","0.00","--","36","33.35","10","0.00",
="00876","元大未來關鍵科技","15,000","1","225,000","15.00","15.00","15.00","15.00","-","14.06","--","42","15.00","39","0.00",
="00878","國泰永續高股息","0","0","0","--","--","--","--"," ","0.00","18.83","8","18.84","96","0.00",
="00881","國泰台灣5G+","0","0","0","--","--","--","--"," ","0.00","--","156","--","110","0.00",
="00882","中信中國高股息","0","0","0","--","--","--","--"," ","0.00","--","46","15.00","180","0.00",
="00885","富邦越南","0","0","0","--","--","--","--"," ","0.00","--","65","16.00","559","0.00",
="00891","中信關鍵半導體","0","0","0","--","--","--","--"," ","0.00","14.98","2","15.62","146","0.00",
="00892","富邦台灣半導體","0","0","0","--","--","--","--"," ","0.00","14.98","174","--","19","0.00",
="01001T","土銀富邦R1","0","0","0","--","--","--","--"," ","0.00","--","1","--","5","0.00",
="01002T","土銀國泰R1","0","0","0","--","--","--","--"," ","0.00","--","1","--","1","0.00",
="01003T","兆豐新光R1","0","0","0","--","--","--","--"," ","0.00","--","6","--","1","0.00",
="01004T","土銀富邦R2","0","0","0","--","--","--","--"," ","0.00","--","154","--","10","0.00",
="01007T","兆豐國泰R2","0","0","0","--","--","--","--"," ","0.00","--","4","--","1","0.00",
="01009T","王道圓滿R1","0","0","0","--","--","--","--"," ","0.00","--","8","--","20","0.00",
="01010T","京城樂富R1","0","0","0","--","--","--","--"," ","0.00","--","4","--","1","0.00",
="020000","富邦特選蘋果N","0","0","0","--","--","--","--"," ","0.00","--","10","--","35","0.00",
="020002","元富新中國N","0","0","0","--","--","--","--"," ","0.00","--","499","--","355","0.00",
="020004","兆豐電菁英30N","0","0","0","--","--","--","--"," ","0.00","--","499","--","499","0.00",
="020006","永昌中小300N","0","0","0","--","--","--","--"," ","0.00","--","100","--","100","0.00",
="020007","凱基臺灣500N","0","0","0","--","--","--","--"," ","0.00","--","225","--","234","0.00",
="020008","元大特股高息N","0","0","0","--","--","--","--"," ","0.00","--","100","--","100","0.00",
="020011","統一微波高息20N","0","0","0","--","--","--","--"," ","0.00","--","494","--","282","0.00",
="020012","富邦行動通訊N","0","0","0","--","--","--","--"," ","0.00","--","100","--","100","0.00",
="020015","統一MSCI美低波N","0","0","0","--","--","--","--"," ","0.00","--","491","--","288","0.00",
="020016","統一MSCI美科技N","0","0","0","--","--","--","--"," ","0.00","--","491","--","1","0.00",
="020018","統一價值成長30N","0","0","0","--","--","--","--"," ","0.00","--","6","--","286","0.00",
="020019","統一特選台灣5GN","0","0","0","--","--","--","--"," ","0.00","--","495","--","248","0.00",
="02001L","富邦蘋果正二N","0","0","0","--","--","--","--"," ","0.00","--","10","--","10","0.00",
="02001R","富邦蘋果反一N","0","0","0","--","--","--","--"," ","0.00","--","10","--","10","0.00",
="020020","元大台股領航N","0","0","0","--","--","--","--"," ","0.00","--","137","--","89","0.00",
="020022","元大電動車N","0","0","0","--","--","--","--"," ","0.00","--","177","--","1","0.00",
"1101","台泥","390,648","179","21,020,994","51.00","56.10","49.40","56.00","+","5.00","56.10","63","--","134","13.40",
