"109年09月01日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","14,558.57","+","118.92","0.82","",
"發行量加權股價指數","12,703.28","+","111.83","0.89","",
"臺灣公司治理100指數","7,407.83","+","72.52","0.99","",
"臺灣50指數","10,106.69","+","124.66","1.25","",
"臺灣50權重上限30%指數","9,567.59","+","101.87","1.08","",
"臺灣中型100指數","9,588.33","+","81.97","0.86","",
"臺灣資訊科技指數","16,907.90","+","320.91","1.93","",
"臺灣發達指數","8,123.41","+","43.89","0.54","",
"臺灣高股息指數","6,649.53","+","10.48","0.16","",
"臺灣就業99指數","6,848.23","+","57.98","0.85","",
"臺灣高薪100指數","6,366.09","+","35.96","0.57","",
"未含金融指數","11,003.77","+","112.22","1.03","",
"未含電子指數","14,297.07","-","19.76","-0.14","",
"未含金融電子指數","11,998.65","-","14.74","-0.12","",
"小型股300指數","7,064.36","+","11.71","0.17","",
"水泥窯製類指數","599.86","-","3.31","-0.55","",
"塑膠化工類指數","753.75","-","1.90","-0.25","",
"機電類指數","3,378.21","+","50.40","1.51","",
"水泥類指數","166.95","-","0.93","-0.55","",
"食品類指數","1,697.48","-","7.62","-0.45","",
"塑膠類指數","214.33","-","0.99","-0.46","",
"紡織纖維類指數","507.38","-","4.99","-0.97","",
"電機機械類指數","204.79","+","3.02","1.50","",
"電器電纜類指數","54.15","-","0.20","-0.37","",
"化學生技醫療類指數","106.89","-","0.58","-0.54","",
"化學類指數","108.86","-","0.81","-0.74","",
"生技醫療類指數","72.21","-","0.24","-0.33","",
"玻璃陶瓷類指數","31.45","-","0.16","-0.51","",
"造紙類指數","274.36","-","1.26","-0.46","",
"鋼鐵類指數","91.10","+","0.33","0.36","",
"橡膠類指數","258.25","+","3.78","1.49","",
"汽車類指數","323.72","+","3.59","1.12","",
"電子工業類指數","604.71","+","9.08","1.52","",
"半導體類指數","283.29","+","5.32","1.91","",
"電腦及週邊設備類指數","117.85","+","0.78","0.67","",
"光電類指數","38.37","+","1.13","3.03","",
"通信網路類指數","123.51","+","0.38","0.31","",
"電子零組件類指數","129.83","+","1.69","1.32","",
"電子通路類指數","125.67","-","1.00","-0.79","",
"資訊服務類指數","126.82","-","0.92","-0.72","",
"其他電子類指數","78.32","+","0.17","0.22","",
"建材營造類指數","327.73","-","0.01","--","",
"航運類指數","66.23","-","0.25","-0.38","",
"觀光類指數","86.18","-","0.25","-0.29","",
"金融保險類指數","1,239.51","-","2.14","-0.17","",
"貿易百貨類指數","264.47","+","0.73","0.28","",
"油電燃氣類指數","106.22","-","1.21","-1.13","",
"其他類指數","294.86","-","0.38","-0.13","",
"臺指日報酬兩倍指數","21,705.84","+","378.83","1.78","",
"臺指反向一倍指數","5,792.95","-","51.91","-0.89","",
"電子類兩倍槓桿指數","22,254.38","+","658.43","3.05","",
"電子類反向指數","5,256.80","-","81.38","-1.52","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技指數","4,834.65","-","46.69","-0.96","",
"臺灣中小型公司治理指數","6,343.75","+","14.93","0.24","",
"臺灣IPO指數","6,026.54","+","87.19","1.47","",
"智慧中立指數","4,484.36","-","2.37","-0.05","",
"臺灣企業社會責任中小型指數","5,216.89","-","5.15","-0.10","",
"價格指數(臺灣指數公司)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"金融類日報酬兩倍指數","18,056.55","-","62.46","-0.34","",
"金融類日報酬反向一倍指數","6,550.99","+","11.27","0.17","",
"漲升股利150指數","6,502.78","+","52.00","0.81","",
"漲升股利100指數","6,318.85","+","40.24","0.64","",
"藍籌30指數","6,460.01","+","69.14","1.08","",
"工業菁英30指數","6,944.49","+","87.91","1.28","",
"電子菁英30指數","7,179.01","+","88.50","1.25","",
"低波動股利精選30指數","5,678.82","-","5.66","-0.10","",
