上櫃股票每日收盤行情(不含定價) 
產業類別:所有證券(不含權證、牛熊證) 
資料日期:110/03/23
代號,名稱,收盤 ,漲跌,開盤 ,最高 ,最低,成交股數  , 成交金額(元), 成交筆數 ,最後買價,最後買量(千股),最後賣價,最後賣量(千股),發行股數 ,次日漲停價 ,次日跌停價
"00679B","元大美債20年","39.50","0.00","39.45","39.58","39.23","551,000","21,688,390","232","39.50","2","39.53","1","444,192,000","9,999.95","0.01"
"00687B","國泰20年美債","41.40","0.00","41.33","41.54","41.24","304,000","12,597,900","40","41.39","49","41.40","8","108,287,000","9,999.95","0.01"
"00694B","富邦美債1-3","38.14","-0.07","38.19","38.20","38.14","221,000","8,434,700","15","38.14","69","38.15","4","180,076,000","9,999.95","0.01"
"00695B","富邦美債7-10","37.26","0.00","37.24","37.29","37.24","159,000","5,927,060","17","37.26","43","37.30","1","14,186,000","9,999.95","0.01"
"00696B","富邦美債20年","41.35","+0.10","41.10","41.42","41.10","333,000","13,779,830","44","41.33","1","41.35","22","538,181,000","9,999.95","0.01"
"00697B","元大美債7-10","39.55","0.00","39.51","39.61","39.51","264,000","10,445,490","9","39.54","21","39.55","20","7,212,000","9,999.95","0.01"
"00718B","富邦中國政策債","19.63","+0.02","19.61","19.65","19.61","434,000","8,520,410","60","19.63","19","19.64","1","1,157,001,000","9,999.95","0.01"
"00719B","元大美債1-3","30.66","-0.02","30.66","30.68","30.66","101,000","3,096,680","3","30.65","3","30.70","40","568,514,000","9,999.95","0.01"
"00720B","元大投資級公司債","42.28","+0.15","42.38","42.38","42.15","162,000","6,849,660","37","42.28","8","42.30","1","701,609,000","9,999.95","0.01"
"00721B","元大中國債3-5","44.98","+0.03","45.08","45.08","44.98","103,000","4,637,080","5","44.98","1","45.05","8","406,622,000","9,999.95","0.01"
"00722B","群益15年IG電信債","44.69","+0.04","44.65","44.69","44.50","133,000","5,940,780","21","44.60","4","44.72","2","901,239,000","9,999.95","0.01"
"00723B","群益15年IG科技債","40.91","-0.31","40.95","40.95","40.77","116,000","4,744,110","15","40.90","10","40.98","53","793,583,000","9,999.95","0.01"
"00724B","群益10年IG金融債","40.85","-0.01","40.81","40.85","40.80","121,000","4,940,010","27","40.85","5","40.90","100","1,535,775,000","9,999.95","0.01"
"00725B","國泰投資級公司債","42.60","-0.09","42.57","42.69","42.54","229,000","9,764,170","24","42.57","10","42.60","95","915,206,000","9,999.95","0.01"
"00726B","國泰5Y+新興債","41.80","-0.05","41.85","41.90","41.80","110,000","4,603,550","11","41.79","8","41.85","4","1,075,489,000","9,999.95","0.01"
"00727B","國泰1-5Y高收債","38.78","+0.07","38.79","38.80","38.76","143,000","5,544,890","16","38.77","3","38.81","12","87,689,000","9,999.95","0.01"
"00734B","台新JPM新興債","19.76","+0.11","19.66","19.76","19.66","1,104,000","21,792,130","49","19.75","2","19.78","10","22,479,000","9,999.95","0.01"
"00740B","富邦全球投等債","45.95","+0.18","45.77","45.95","45.77","104,000","4,778,310","14","45.92","3","45.95","14","575,471,000","9,999.95","0.01"
"00741B","富邦全球高收債","38.10","+0.09","38.01","38.10","38.01","116,000","4,418,380","11","38.10","2","38.13","12","8,128,000","9,999.95","0.01"
"00744B","國泰中國政金債5+","41.46","+0.07","41.43","41.46","41.43","101,000","4,187,430","3","41.43","1","41.48","12","753,228,000","9,999.95","0.01"
"00745B","富邦中政債0-1","40.70","+0.02","40.72","40.72","40.70","100,000","4,071,000","4","40.53","10","40.78","10","4,016,000","9,999.95","0.01"
"00746B","富邦A級公司債","43.10","+0.03","43.06","43.10","43.06","100,000","4,308,000","4","43.06","1","43.10","2","895,464,000","9,999.95","0.01"
"00747B","FH中國政策債","51.40","0.00","51.40","51.40","51.40","100,000","5,140,000","2","51.30","19","51.45","4","684,000,000","9,999.95","0.01"
"00748B","凱基中國債3-10","41.43","0.00","41.43","41.43","41.43","100,000","4,143,000","2","41.39","11","41.50","11","618,500,000","9,999.95","0.01"
"00749B","凱基新興債10+","42.55","+0.16","42.55","42.55","42.55","100,000","4,255,000","2","42.45","11","42.59","10","906,000,000","9,999.95","0.01"
"00750B","凱基科技債10+","42.05","-0.20","41.94","42.05","41.94","106,000","4,456,670","4","41.94","11","42.07","11","124,000,000","9,999.95","0.01"
"00751B","元大AAA至A公司債","42.55","+0.07","42.49","42.59","42.40","292,000","12,416,320","58","42.54","2","42.55","15","1,176,103,000","9,999.95","0.01"
"00754B","群益AAA-AA公司債","43.88","+0.06","43.90","43.90","43.88","101,000","4,433,880","5","43.87","1","43.99","90","181,900,000","9,999.95","0.01"
