上櫃股票每日收盤行情(不含定價) 
產業類別:所有證券(不含權證、牛熊證) 
資料日期:110/04/13
代號,名稱,收盤 ,漲跌,開盤 ,最高 ,最低,成交股數  , 成交金額(元), 成交筆數 ,最後買價,最後買量(千股),最後賣價,最後賣量(千股),發行股數 ,次日漲停價 ,次日跌停價
"00679B","元大美債20年","39.89","-0.19","40.00","40.00","39.85","944,000","37,696,300","294","39.88","12","39.89","25","459,192,000","9,999.95","0.01"
"00687B","國泰20年美債","41.70","-0.20","41.77","41.77","41.67","194,000","8,095,720","55","41.68","2","41.70","3","101,787,000","9,999.95","0.01"
"00694B","富邦美債1-3","38.28","+0.06","38.20","38.28","38.20","235,000","8,991,070","18","38.23","65","38.28","23","180,076,000","9,999.95","0.01"
"00695B","富邦美債7-10","37.29","-0.11","37.35","37.35","37.29","377,000","14,071,640","35","37.29","55","37.30","1","14,186,000","9,999.95","0.01"
"00696B","富邦美債20年","41.64","-0.23","41.70","41.71","41.59","288,000","11,983,290","56","41.60","9","41.64","10","519,681,000","9,999.95","0.01"
"00697B","元大美債7-10","39.61","-0.11","39.67","39.67","39.59","1,008,000","39,935,210","19","39.61","11","39.63","20","7,212,000","9,999.95","0.01"
"00718B","富邦中國政策債","19.60","+0.05","19.59","19.60","19.57","233,000","4,564,110","16","19.58","3","19.60","24","1,158,501,000","9,999.95","0.01"
"00719B","元大美債1-3","30.67","+0.02","30.67","30.69","30.67","121,000","3,713,070","6","30.67","6","30.70","71","541,014,000","9,999.95","0.01"
"00720B","元大投資級公司債","43.37","-0.06","43.49","43.49","43.36","373,000","16,202,450","53","43.38","1","43.40","5","691,609,000","9,999.95","0.01"
"00721B","元大中國債3-5","44.91","+0.05","44.85","44.91","44.83","106,000","4,760,000","4","44.81","43","44.94","1","406,622,000","9,999.95","0.01"
"00722B","群益15年IG電信債","45.67","-0.18","45.73","45.73","45.65","128,000","5,849,200","15","45.65","10","45.68","49","901,239,000","9,999.95","0.01"
"00723B","群益15年IG科技債","41.66","-0.14","41.74","41.74","41.66","110,000","4,583,190","8","41.66","10","41.71","100","793,583,000","9,999.95","0.01"
"00724B","群益10年IG金融債","41.56","-0.19","41.71","41.71","41.53","136,000","5,650,590","23","41.55","4","41.56","42","1,497,775,000","9,999.95","0.01"
"00725B","國泰投資級公司債","43.42","-0.13","43.50","43.52","43.40","125,000","5,430,230","13","43.42","8","43.46","10","919,206,000","9,999.95","0.01"
"00726B","國泰5Y+新興債","42.20","+0.05","42.24","42.24","42.20","103,000","4,346,640","5","42.14","2","42.24","21","1,075,489,000","9,999.95","0.01"
"00727B","國泰1-5Y高收債","39.46","-0.01","39.46","39.47","39.44","180,000","7,102,760","22","39.46","1","39.47","40","88,189,000","9,999.95","0.01"
"00734B","台新JPM新興債","19.90","0.00","19.90","19.90","19.85","1,005,000","19,959,660","27","19.84","112","19.88","10","22,479,000","9,999.95","0.01"
"00740B","富邦全球投等債","46.76","-0.14","46.86","46.86","46.76","105,000","4,911,270","7","46.76","1","46.81","25","575,971,000","9,999.95","0.01"
"00741B","富邦全球高收債","38.41","+0.01","38.36","38.41","38.36","106,000","4,070,360","8","38.40","2","38.44","3","8,128,000","9,999.95","0.01"
"00744B","國泰中國政金債5+","41.22","-0.01","41.24","41.24","41.22","114,000","4,699,360","5","41.20","1","41.24","84","754,728,000","9,999.95","0.01"
"00745B","富邦中政債0-1","40.53","-0.07","40.53","40.53","40.53","100,000","4,053,000","4","40.40","20","40.60","1","4,016,000","9,999.95","0.01"
"00746B","富邦A級公司債","43.89","-0.19","43.91","43.92","43.88","109,000","4,784,680","11","43.88","2","43.90","6","895,464,000","9,999.95","0.01"
"00747B","FH中國政策債","51.30","+0.10","51.30","51.30","51.30","109,000","5,591,700","4","51.20","15","51.35","35","685,000,000","9,999.95","0.01"
"00748B","凱基中國債3-10","41.34","+0.08","41.34","41.34","41.34","100,000","4,134,000","2","41.25","11","41.38","1","620,000,000","9,999.95","0.01"
"00749B","凱基新興債10+","42.82","0.00","42.79","42.82","42.79","101,000","4,321,820","3","42.69","8","42.82","10","901,500,000","9,999.95","0.01"
"00750B","凱基科技債10+","42.84","-0.11","42.84","42.84","42.84","100,000","4,284,000","2","42.84","2","42.85","22","87,000,000","9,999.95","0.01"
"00751B","元大AAA至A公司債","43.71","-0.19","43.89","43.89","43.67","401,000","17,528,510","113","43.70","5","43.71","24","1,176,103,000","9,999.95","0.01"
"00754B","群益AAA-AA公司債","44.86","-0.37","44.94","44.94","44.86","101,000","4,538,860","5","44.85","2","44.94","1","181,900,000","9,999.95","0.01"
