"109年06月18日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"電子工業類報酬指數","882.56","+","6.49","0.74","",
"半導體類報酬指數","358.87","+","2.48","0.70","",
"電腦及週邊設備類報酬指數","205.49","+","2.72","1.34","",
"光電類報酬指數","51.00","+","0.24","0.47","",
"通信網路類報酬指數","238.32","-","0.86","-0.36","",
"電子零組件類報酬指數","204.72","+","3.75","1.87","",
"電子通路類報酬指數","244.21","-","0.51","-0.21","",
"資訊服務類報酬指數","252.61","+","0.07","0.03","",
"其他電子類報酬指數","111.97","+","0.71","0.64","",
"建材營造類報酬指數","516.83","-","0.75","-0.14","",
"航運類報酬指數","81.74","-","0.53","-0.64","",
"觀光類報酬指數","120.73","-","0.01","-0.01","",
"金融保險類報酬指數","1,962.44","-","12.41","-0.63","",
"貿易百貨類報酬指數","391.03","-","1.73","-0.44","",
"油電燃氣類報酬指數","172.70","-","1.29","-0.74","",
"其他類報酬指數","425.93","+","0.70","0.16","",
"報酬指數(跨市場)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技報酬指數","5,255.28","+","88.81","1.72","",
"臺灣中小型公司治理報酬指數","7,013.69","+","78.79","1.14","",
"臺灣IPO報酬指數","6,358.46","+","45.92","0.73","",
"智慧中立報酬指數","4,911.52","+","12.66","0.26","",
"加權指數掩護性臺指買權價外5%報酬指數","4,786.95","+","15.93","0.33","",
"臺灣5G報酬指數","5,480.43","+","52.38","0.96","",
"報酬指數(臺灣指數公司)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"漲升股利150報酬指數","7,417.42","+","19.74","0.27","",
"漲升股利100報酬指數","7,440.89","+","15.95","0.21","",
"藍籌30報酬指數","6,955.33","-","2.12","-0.03","",
"工業菁英30報酬指數","7,447.17","+","28.67","0.39","",
"電子菁英30報酬指數","7,491.39","+","33.92","0.45","",
"低波動股利精選30報酬指數","6,705.08","-","34.80","-0.52","",
"低貝塔100報酬指數","6,742.83","-","9.85","-0.15","",
"中小型精選50報酬指數","7,069.12","+","27.25","0.39","",
"中小型A級動能50報酬指數","8,900.78","+","140.13","1.60","",
"特選高息低波報酬指數","6,283.64","+","41.21","0.66","",
"臺灣永續報酬指數","--","","--","--","",
"特選內需高收益報酬指數","6,401.86","-","27.23","-0.42","",
"價值投資報酬指數","7,427.21","+","55.00","0.75","",
"存股雙十等權重報酬指數","5,601.54","+","19.88","0.36","",
"特選大蘋果報酬指數","6,221.24","+","29.03","0.47","",
"中小型300報酬指數","6,542.48","+","51.66","0.80","",
"特股高息20報酬指數","5,546.36","-","5.84","-0.11","",
"臺灣500報酬指數","6,221.54","+","17.24","0.28","",
"特選外資豐擁50報酬指數","6,217.19","+","8.52","0.14","",
"臺灣勞工權益報酬指數","5,693.11","+","1.36","0.02","",
"微波高息精選20報酬指數","5,021.62","+","4.13","0.08","",
"特選世代行動通訊報酬指數","5,177.02","+","27.11","0.53","",
"智慧投資多因子30報酬指數","4,994.79","+","24.28","0.49","",
"特選大蘋果報酬正向兩倍指數","8,695.98","+","80.78","0.94","",
"特選大蘋果報酬反向一倍指數","10,004.56","-","47.12","-0.47","",
"特選價值成長報酬指數","4,951.60","+","58.49","1.20","",
"109年06月18日 大盤統計資訊"
"成交統計","成交金額(元)","成交股數(股)","成交筆數",
"1.一般股票","171,710,849,440","3,407,748,000","1,349,416",
"2.台灣存託憑證","209,539,560","28,402,000","5,746",
"3.受益憑證","0","0","0",
"4.ETF","8,536,347,840","699,376,600","77,314",
"5.受益證券","25,913,550","1,786,000","75",
"6.變更交易股票","15,364,090","2,681,000","703",
"7.認購(售)權證","1,961,232,430","1,413,474,000","74,229",
"8.轉換公司債","0","0","0",
"9.附認股權特別股","0","0","0",
"10.附認股權公司債","0","0","0",
"11.認股權憑證","0","0","0",
"12.公司債","0","0","0",
"13.ETN","17,461,040","1,817,000","267",
"證券合計(1+6)","171,726,213,530","3,410,429,000","1,350,119",
"總計(1~13)","182,476,707,950","5,555,284,600","1,507,750",
"漲跌證券數合計"
"類型","整體市場","股票",
"上漲(漲停)","4,245(29)","522(26)",
"下跌(跌停)","3,061(24)","319(0)",
"持平","629","89",
"未成交","7,506","3",
"無比價","1,296","10",
"備註:"
""漲跌價差"為當日收盤價與前一日收盤價比較。",
""無比價"含前一日無收盤價、當日除權、除息、新上市、恢復交易者。",
"不加計外幣交易證券交易金額。",

"109年06月18日每日收盤行情(全部(不含權證、牛熊證))"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
="0050","元大台灣50","5,001,000","1,994","444,304,600","89.05","89.30","88.35","88.90","-","0.10","88.90","167","88.95","16","0.00",
="0051","元大中型100","34,000","23","1,244,030","36.39","36.70","36.38","36.70","+","0.34","36.70","1","36.71","1","0.00",
="0052","富邦科技","146,000","34","10,006,550","67.90","68.60","67.90","68.55","+","0.35","68.55","3","68.70","1","0.00",
="0053","元大電子","10,000","8","410,620","41.03","41.10","41.00","41.10","+","0.19","41.10","21","41.15","1","0.00",
="0054","元大台商50","10,000","5","244,280","24.60","24.60","24.36","24.46","+","0.10","24.52","120","24.55","10","0.00",
="0055","元大MSCI金融","74,000","14","1,321,120","17.90","17.90","17.80","17.81","-","0.09","17.82","17","17.90","50","0.00",
="0056","元大高股息","20,096,000","7,647","572,225,630","28.48","28.58","28.40","28.55","+","0.09","28.55","958","28.56","117","0.00",
="0057","富邦摩台","22,000","3","1,292,300","58.65","58.75","58.65","58.75","+","0.20","58.70","20","59.10","21","0.00",
="0061","元大寶滬深","487,000","143","8,672,800","17.70","17.90","17.64","17.90","+","0.18","17.83","21","17.90","23","0.00",
="006203","元大MSCI台灣","12,000","4","502,620","41.87","41.89","41.87","41.89","+","0.19","41.85","1","41.90","1","0.00",
